data,sentiment,sentiment_self_training
x akun gw di band trus sma garenadengan alasan yg gk jelasgw main normalnormal ajakok seenaknya aja di banajamakin lama makin gak jelas game inilebih baik pensi permanen aja klo kaya giningabisin duit top up melulungurus akun kecil udah lama tibatiba selalu aja di ban,,negatif
epep seru asik,,positif
gm ini bagus banget terus jangan lihat bawah ini aku akan selalu ada di dalam gm ini,,positif
game nya seru sih tapi kurangin tim yg drak sistem baru seru main nya,,positif
geme nya seru,,positif
enak gemnya,,negatif
enak banget,,positif
mantap,,positif
sangat seru dan bisa bermain ber empat,,positif
banyak chit,,negatif
burik bit kayak komik tahun an game burik jangan di donlot,,negatif
enak di main,,negatif
good,,negatif
bagus bgt,,positif
ff sangat bagus dan geratis untuk semua orang dan anak kecil juga suka memain ninya maka ff selalu ada di hati,,positif
amazing,,negatif
saya gajadi download soalnya tmn sy offline smuamain sm random ga serumending main ml,,negatif
saya suka karena semua komeback,,positif
permainannya seruu bangettt sampai setiap hariiii,,positif
saya suka geme ini selalu dihati saya,,positif
sangat bagus,,positif
maap aku kasih bintang satu kenapa garena pls baikin ff karana aku main layar ku hitam mulu lama kali pls baikin,,negatif
nggak bisa didownload ga seru,,positif
sangat baikkk,,positif
bagus sekali game ini,,positif
baik sangat baik,,positif
yg benar aja masa elit bintang di kasih teman bot semua aneh,,negatif
tidak ada ulasan,,netral
tidak ada ulasan,,netral
oke,,negatif
tidak ada ulasan,,netral
aku baru download yang ff versi max katanya loby nya beda eh pas masuk sama aja kek ff biasa terus kalo isi peluru katanya beda eh juga sama aja kek ff biasa gimanasihhhh,,negatif
lumayan,,positif
bjirrr game nya bagus bagaikan langit dan bumi,,positif
saya sangat suka dengan game ini,,positif
gabisa download,,negatif
sangat bagus,,positif
gemnya seru tapi pake paket,,positif
sangat suka game ff,,positif
gg wepe,,negatif
sekarang ff udh gak seruh mending main ml sekarang ff kikir cok aneh udh gak enak lagi,,negatif
sering ngeztuck,,negatif
ff bagus,,positif
sangat seru,,positif
bagus banget min tapi sinyal selalu ngelek padahal aku ada kuota sinyal tempatku bagus jadi benerin ya min,,positif
seru bikin ketagihan,,positif
serubagusand seneng dehh,,positif
sayang nya saya kalah di menit akhir mode duo sama adek saya,,positif
epep bgus,,positif
peak lama di munculkan ulang dong,,negatif
tolong min sistem nya di perbaiki,,negatif
garena di mana nih garena ff kok orangorang bisa download tolong diperbarui batman aku nggak bisa download,,negatif
sangat bagus untuk aku,,positif
game bagus,,positif
sangat bagus,,positif
game burik mudah di hack banyak citer banyak player toksik,,negatif
sangat bagus,,positif
bagus dan menghibur tapi event ny mohon makin di kecilkan kapasitas ny,,positif
senang,,negatif
wow,,negatif
seru gara game ini gua jd kenal dunia virt smua org yg dsitu baik bgt ma gua tq garena,,positif
terimakasih kamu geam yang seru,,positif
game yg seruu dan asikkk,,positif
game nya seru tapi gak seru nya aitem aitem lama di keluarkan lagi,,positif
game ini sangat jelek karna banyak bugg perbaiki lah bug nya,,negatif
hiburan,,positif
matap,,negatif
game bagus tapi kalau main cs suka ada chit tolong perbaiki lagi game nya,,positif
gajelas respon ganti glowal ke senjata delay padahl dah di tap tap berkali kali tpi tetep delay lawak,,negatif
sekarang busuk,,negatif
game yg sangat seru apa lagi saat mabar bareng teman teman cuman minusnya bug bug nya diperbaiki semoga game ini banyak peminat nya,,positif
game bapak garena memang terbaik,,negatif
bagusss,,positif
min knp gw gak bisa login,,negatif
keren,,positif
ini game aku dari kecil umur tahun sekarang umurku,,positif
game gj sinyal bagus gabisa masuk,,positif
game bagus,,positif
game nya pokok nya bagus dh,,positif
bagus,,positif
game ini sangat bagus,,positif
game gak jelas game dah terus jaringannya dah buang aja sana ke sampah gak guna media main puo aja,,negatif
bagus aja buat main,,positif
bagus aja,,positif
hobi main epepepe,,negatif
epep yg terbaik saat ku kesepian cuman ad epep yg membuat ku tidak kesepian lagi makasih epep telah ad di hp ku,,negatif
mohon maaf kepada pihak garena saya sudah bermain game ini dari tahun saya bernostalgia dengan game ini trimakasih free fire sekarang saya sudah bosan bermain game ini sekarang saya pindah game mobile legends saya berjanji akan komback di bulan ramadhan se you next time garena,,positif
sangat bagus banget,,positif
ff di hati,,netral
dia menemaniku dari,,negatif
bagus,,positif
sangat sangat sangat bagusss,,positif
sangat bagus,,positif
event nya jangan itu mulu,,negatif
bagus tapi mb ny tunin jadi ratusan,,positif
main cs kok gak ada senjata famas kalaupun ada susahnya minta ampun untuk mendapatkannya,,negatif
mantap,,positif
ff oon babi ngeleg mulu,,negatif
geme ny mayaan seru jadi aku kasih bintang,,positif
banyak cheater tolong di ban udah di lapor tapi blum pada di ban,,negatif
saya baru download kayaknya seru jadi saya kasih bintang,,positif
bagus sekali cok bisa ngeset bagus sekali,,positif
bagus bangett aku suka banget sama mainnya makasih sudah buat geme ini ya,,positif
bagus,,positif
gak ada pintu,,negatif
tidak ada ulasan,,netral
game burik makin lama update makin burik apa di rubah bego,,negatif
seru dan sportif,,positif
game menarik,,positif
sangat bagus,,positif
naon maksud bos urg ijig ijig paeh eyy didie asa teu ngarenah kie eyy dek kumha tah mun ges kie dek di adu wae,,negatif
ok,,positif
game yg sangat memuaskan,,positif
bagus banget update terus bg bug ama citer di abaikan sama satu tmn ku ngga on mic tiba tiba ke mute dari yang jam lagi tiba tiba di tambahin hari ngga ngotak apa gimana min tolong lah itu tmn ku udah hp nya kentang,,negatif
mantap mantap mantap,,positif
game nya bagus banget bisa ma bar,,positif
akun saya tiba tiba kena bened padahal saya tidak memakai ceat,,negatif
game gajelas pantas di bilang game burik bit emg benar masa gw pake grafik rata kanan tapi masih ngeleg udh ganti ke smooth juga tetap sama pdhl memori gw blum full tapi patah malas bet kalau udh ketemu musuh suka knock gara patah dan satu lagi tolong timnya ama musuh di sesuaikan jangan timnya bot musuhnya jago kalau gw player esport map pun gw tampung tapi gw ini baru main th masih kaku mainnya rank turun trus rank stuck situ aja tolong garena kurangin bocil drak sistem ganggu banget,,negatif
ff memang mabeles,,positif
kren,,negatif
game ya seru,,positif
bagus cuman suka ngeleg,,positif
seru,,positif
keren,,positif
asik,,positif
seru banget,,positif
gema saat baik,,positif
lumayan patah hp nya,,positif
saya tidak bisa membuka ifent ff,,positif
seruuu tp sering ngelag ngelag hp saya,,positif
seru banget,,positif
gamenya seru banget apalagi bisa dapat skin free dan juga bisa mabar,,positif
saya suka dengan game ini free fire,,positif
good game,,negatif
seru wuhh,,positif
karena di cs ranked tidak ada sg mulu,,netral
frifayer terbaik di indonesia,,negatif
ff nya bagus,,positif
lumayan tapi bdyle gak gratis,,negatif
good garena,,netral
permainannya seru,,positif
keren,,positif
mantap,,positif
keren,,positif
saran saya kayanya ini game masi ada kendala untuk pergantian mapnya masa setiap saya main di map bermuda mulu ngak ada map lain jadi untuk apa ada map lain mending ngak usa adakan uda di download map lainya masi aja di bermuda main seratus kali cuman sepulu kali dapa map lain kalau tdk bermuda terus jadi saran saya tingkatkan lagi ini mapnya biar ngak bosan mainnya,,negatif
saya menyukai ff,,positif
bagus banget game nya,,positif
game nya seru asik dan player nya baik baik,,positif
ff adalah game perang yang sangat seru banget dan kalo byk one enak ada mode cs elite dan ada mode pepeng,,positif
bagus,,positif
gw suka geme ya,,positif
mantap bisa push rank coy mantap garena,,positif
game jelek,,negatif
game bagus,,positif
sangat bagus,,positif
game rusak bejir masak nunggu lama gak bisa main,,negatif
asu,,negatif
baguss kadang ngeselin musuh,,positif
burik mending blood strike,,negatif
game sangat bagus collab dengan digimon karena saya suka digimon,,positif
seru,,positif
aku suka free fire,,positif
aku sangat suka bermain game ff ini,,positif
gem ini sangat luar biasa bisa mengisi waktu luang dan bisa melampiaskan prasaan kita,,positif
wah sangat bagus sekali saya kasih bintang,,positif
seru,,positif
gema nya seru,,positif
bagus,,positif
banyak yang toxic kalo di idupin ga di idupin banyak pemain ngeselin bikin males main dan banyak yang ngata ngatain fan main kalah mulu daprt tim gabisa main bot,,negatif
belajar dari kesalahan emel jelek aowkaowkoakaw makanya ff win dengan musuh bot,,negatif
game nya bagus dan seruuu jugaa bisa mabar bareng temen,,positif
ini bagus sekali,,positif
garena please baca komentar ini saya pengalaman nge report musuh yang pakai cheat sekali lagi pakai cheat yaitu cheat nya dapat menembus tembok dan auto aim ke karakter kita dan saat saya di balik karakter crono itu dia dapat menembak terus saya laporkan sama temen temen saya tapi tidak ke report gimana ini garena kalo masalah game sih bagus ya tingkat nge lag nya juga dikit tapi maaf kalo ada yang bener bener pakai cheat dan dilaporkan itu harap di beri ketegasan lagi maaf kalo menyinggung,,positif
ini game ya seru cuman aku pernah pas main rank aku udah tinggi malah turun padahal aku pas rank ya udah tinggi aku kagak main rank lagi tolong di benerin dev garena cuman itu permintaan ku semoga terkabul amin,,negatif
burik,,negatif
keren,,positif
gamenya seru banget aku suka deh aku sering booyah terus,,positif
entah knp suka nge lag dan ini juga lgi nge lag gbsa masuk game,,negatif
game yang sangat bagus,,positif
sangat seru kadang kolo saya bosen main game ini dan seru nya kembali dan top up diamond nya sangat murah,,positif
game yang luar biasa tidak ada berat berat di hp saya pernah main di hp kentang masih bisa ternyata ini bukan man main sungguh luar biasa,,negatif
bagus sekali,,positif
sang t bagus,,positif
permainan ini bikin saya candu,,positif
game nya bug gak ada gambar tolong diperbaiki,,negatif
games nya bagus,,positif
game burik,,negatif
bug demeg benerin lol kocak gw udah hetsot hetsot kayak ruwok helm musuh belum hancur,,negatif
tolong kasih pintu dan jendela,,positif
game yang sangat serutapi ga ada akun saya buat main,,positif
saya jadi malas main ff karena akun utama saya hilang dan saya bikin akun baru dan akun baru saya selalu tidak beruntung,,netral
sangat bagus,,positif
ga jelas udah rank tinggi tinggi dikasih tim yang jelek bgt,,negatif
keren,,positif
bagus ff sudah menhilangkan panutan kami,,positif
tolong untuk game nya cheat atau file nya di hilangkan saya nabrak pemain yang make file jadi akun saya kena bl tolong ya ini sudah sangat mengganggu tolong di tindak lanjuti,,positif
musuh ngecet semua,,negatif
sangat keren dan menarik,,positif
keren,,positif
gamenya seru,,positif
seru,,positif
gem nyaa seru banget tapi peak lama di hapus,,positif
game ff sangat seru untuk dimainkan,,positif
bagus,,positif
tapi min notifikasi nya bikin baper,,negatif
tk luuu ff burixxx knp ga bisa login iniiiiiiiiiii,,negatif
mantap,,positif
game nya seru,,positif
gamenya bagus,,positif
dikasih tim bot,,negatif
akunku ke hb gara fitur bind,,negatif
ma tap,,negatif
garena ini tolong benerin ff nya kok pas login gk bisa masuk malah black scren,,negatif
keren bener,,positif
bagus,,positif
good,,negatif
karena lawan terlalu hebat dan tim saya hanya di kasih nya bot semua,,positif
karna game ini terlalu senang,,positif
ff game burik ga pernah kasih hoki kalo spin anjj burikk,,negatif
maaf ya garena aku memang suka dengan game ini,,positif
game ny asik klu masa ny kembali,,negatif
sangat bagus tapi bagi mp galaksi dong,,positif
keren coy,,positif
garena pilih kasih teman aku dapat jt sama bandel k aku gk dapat akun teman ku padahal sultan dia dari aku kok gk bisa dapat hoki teman ku hoki dia dapat bandel k sama awm panda baju panda dan woloeker aku gk dapat gk adil garena lebih baik kita semua pindah geme aja sumpah garena plissssss aku juga pengen dapat jt dari dulu gk dapat dapat garena ayo lah hoki kan lah garena kali ini aja pliss kalo dapat jt aku gk bakal pindah geme garena mohon garena hoki ya plisssss ya garena baik,,negatif
ff burik kalo ngasih musuh gk ngotak kalo main cs renk,,negatif
gemm burik bit dan ga ada pintu,,negatif
game nya bagus,,positif
alasan knp gw kasih bintang nol karena ff burik bit gk kayak dlu anjir mending ff ini di hapus aja lah ff dah burik makin lama makin buat hp kentang kita semua gk bisa main lagi mau ngonten doang gk bisa lagi pantas aja tuh bang budi live di blood strike aja lo band bang budi punya akun pantas aja semua pensi karna lo garena semua yg kami impikan kamu hilangkan mulai dari peak old trus panutan kami lh semua nya dah hilang mohon maaf jika anda marah sama saya saya minta maaf salam garena,,negatif
grafik nya bagus sekali,,positif
saya tidak suka game kalian karna pas saya mau download lama sekali selesainya,,positif
gameini sangat seru,,positif
asik bisa mabar sama cewek di game ini ceweknya banyak,,negatif
keren,,positif
kasih gua diskon k terus donk bang garena,,negatif
bagus banget,,positif
seru bet anjerrrrrr,,positif
seru saat main,,positif
collap pinsama seponsbob seperti game sebelah,,negatif
bagus benget,,positif
saya ingin diamond gratis,,positif
sukak main nya tapi tadak even bagus,,positif
garena pleacetidak perlu saat mencapai rank master harus mendapatkan item baju master ngak jelashanya nambahi penyimpanan aja ngak gunadan utamakan update untuk memperbaiki maslahbugjngan mode atau item ngk jelas yng di kluarininget kenyamanan tetap no sekrang di ram aja berat bngetkesannya maksa buat sllu beli hp yng lebih baru dan yng lebih baruemang orang kaya itu mikirin diri sendiringak tau susahnya orang kecil,,negatif
jaringan nya cari gara gara bikin aku kesel ketika gak ada lawan jaringan nya bagus ketika lawan mendekat kuning ketika lawa menembak jaringan nya merah,,positif
karna mudah,,positif
pendapat ku game ini sangat cocok untuk dimainkan,,positif
ini sangat seru,,positif
sangat bagusss dan terpopuler,,positif
game ini sangat cocok untuk anda,,positif
game nya bagus dan seru bisa ketemu banyak teman virtual baru,,positif
sangt bagus permainan ini yang kesatu kata ku,,positif
penak nyong maen ya penak pepeng nko glider pan tekasing abang yuh add sing pan baiwan karo nyongmeneeeeeeeweeesee,,negatif
garena yg sekarang pelitnya minta ampun gw spin incubator abis tiket lebih gk dapet blueprint memang kikir nya naudubillah,,negatif
bagusww,,negatif
data di dalam game nya kayak skin senjata skin baju suka tiba tiba kehapus sendiri harus di download satu satu lagi aneh,,negatif
game nya bagus,,positif
update sekarang udah lumayan bagus cuman ada plus minusnya plusnya karakter baru punya skill ngasih damage minusnya itu damage ngasih ke player gk normal yg lain skill aktifnya ngasih damage cuma itu gk normalnya terus coin gratis dikasih variasi sayap itu ngehalangin pandangan player,,negatif
mantap,,positif
seru,,positif
tolong band cheater jangan banyak update mulu,,negatif
game baguss,,positif
pale pale,,negatif
game gublokkkkk,,negatif
tidak bermam faat,,negatif
game yang mengasah skill dan membuat emosi juga hehe,,positif
seruuuu bangetttt,,positif
seruh bikin pengen mau main terus menerus terus lawannya sulit menantang,,negatif
sangat bagus,,positif
nice game,,negatif
enak buat mainn,,negatif
kikir yang buat,,positif
game nya bagus buat iseng isi waktu,,positif
bagus ke nya,,positif
lumayan bagus bagus kali bro,,positif
seru banget,,positif
bagus,,positif
permainan nya bagus tapi mohon bug bug nya di perbaikin ya supaya lebih enak bermain bareng teman,,positif
udh bosen tpi kpo gabut ttp main ini kok,,negatif
seruuu,,positif
bagussss,,positif
seru tapi coppy ff normal,,positif
karena bagus,,positif
sangat bagus,,positif
aku pas main ini dilarang game ini padahal umur aku udah tahun,,negatif
ak kurang jago,,negatif
karena seru aku main ff dari,,positif
bagusss,,positif
tidak ada ulasan,,netral
game burik,,negatif
aku suka main game ini bisa mabar terus bisa top up tapi kok ada yang kurang,,negatif
gem ini bagus banget,,positif
ketika saya main wifinya ngelag padahal wifinya sudah bagus mohon perbaiki bug nya dan satu lagi saya setiap main gampang ketemu musuh yang pro mohon ya mimin perbaiki bug nya,,positif
hanya orang yg gk punya kerja lah yg main geam gk ada pintu afk gkk blh orang betawi mah main ini moal bakal mau soal gk blh ngomong toxic ihh,,negatif
kenapa pas ganti senjata gek bisa di pencet,,negatif
game gajelas bug masuk glowal masih sering bug damage masih sering tll ngerugiin player sering update tapi ga pernah improve tll game gajelas gara gara tu bug gw sering kalah emang game gajelas,,negatif
we need old peak,,negatif
game nya bikin sakit mata sampe mata saya merah putih berkibar di sekolah dasar negeri ini bayi yang lahir pada tahun lalu waktu itu udh di sini untuk melihat dan murah dan mudah untuk di gugw ga tau deh nakan oleh karena,,negatif
saya sangat senang karena game kesayangan kamu ini sangat seru dan yg paling membosankan dm saya gak ada kalau bisa saya mau bandel plis garena free fire id,,positif
bagussi tapi masih banyak bug yang belum diperbaiki,,negatif
bagus,,positif
seru banget tapi hati hati dengan keamanan akun anda,,positif
bagus tpi burik,,negatif
saya seneng bisa main gem ini,,negatif
saya gk bisa login akun ada waktu ya,,negatif
game ini sangat seru,,positif
very good,,negatif
menyenangkan,,positif
seru bisa mabarrr asixxx,,positif
gw spin mistery draw dapat bundle samurai cewek tiba tiba ilang emang garena bener bener dah,,negatif
gimana dah pas mau mulai game kok malah ngestuck di loadingnya dan malah balik ke loby ku coba di mode lain sama aja balik ke loby padahal penyimpanan masih banyakk kuota banyak sinyal aman tolong lahhh,,negatif
masa honor score nya ga bisa main cs ml aja bisa huuuu game burik bit gada pintu,,negatif
game nya bagus banget,,positif
wee need old peak,,negatif
larinya kely agak di cpat kan,,negatif
sangat seru,,positif
aku sangat suka dan sangat bagus,,positif
ff sangat bagus,,positif
sangat baik,,positif
sangat bagus,,positif
bagus,,positif
karna ff bagus,,positif
kok lama banget loading nya padahal waivi aku penu seballllll sebel sebel sebel,,positif
gema nya bagus tapi nanti collab sama ultraman ya gerana,,positif
gemnya seru banget serasa nyata,,positif
game banyak bug perbaiki oi game tu,,negatif
game ini asik dan menyenangkan tapi ada banyak chiter yang berkeliaran di matc,,positif
enak kalo event ramadan,,negatif
game ff yang temantemannya emang aku suka game ff,,positif
seru bet,,positif
makasih garena,,netral
sangat bagus,,positif
game ini sangtsangt bagus,,positif
seru tapi gak ada temen mabar,,positif
balikin akun gua woy,,negatif
ga jelas style lobby ny ga ada gj bgt,,negatif
kami sangat suka sama game ini sayangnya hp ku kentang dari aku main ngak ngeleg tapi kayak nya di tahun ini gak mungkin,,positif
game nya bagus banget min tolong kasih dm gratis biar orang orang senang,,positif
bagus,,positif
garena agemnya tambah burik jadi padutan kamih pada pensi bang budi,,negatif
bagus,,positif
cakep banget deh bisa mabar dengan teman ku,,positif
game bagus gk kaya roblok,,positif
gamesnya bagus aku kasih bintang,,positif
wenak,,negatif
sangat baik dan bagus,,positif
saya sangat suka game ini walaupun kadang menang dan kadang kalah juga,,positif
baik seru gem nya,,positif
sangat bagus lancar banget gampang headshot,,positif
game burik gw ngegacha gk dapet dapet,,negatif
banyak dark sistem seperti bocil bsk masih banyak yg toxic bot gak tau main padahal udah gm,,negatif
garena ini game yg bagus,,positif
seruu,,positif
pernah menang,,negatif
kembali kan map bermuda yang dulu,,netral
game nya bagus banget pas dulu tpi maaf sayh udh pensi dari ff soalnya udh kyk kurang seru mnurut aku aku mlh pindah k ml klo peak yang dulu ada aku akan comback,,positif
sangat menyenangkan,,positif
di kasih kalah mulus males main,,negatif
bagusssss,,negatif
gak bisa join game nya padahal baru hari gak main tiba langsung error,,negatif
game ya bagus banget sih wajib download,,positif
seru,,positif
i am very happy to have a really fun game,,negatif
seru,,positif
bagus,,positif
game nya bagus ada sedikit bug dan sering menemukan citer di mode br rengked tolong ya garena diperbaiki dan tolong bened citer nya ya garena,,positif
aku suka ff,,positif
sorry free fire gua gak main lu lagi hmm,,negatif
bagus saya suka game ini tapi sinyal kadang suka ngeleg,,positif
karena bagus tapi agak ngelek,,positif
game byurik,,negatif
good,,negatif
game ini bgus tpi tolong jangan di hpus semua item old dan bundle old jangan di hadirkan lagi kasian yang player old berjuang untuk item bundle old dan tolong kasihkan monster monster besar biar tidak bosan player nya,,negatif
bagus tapi ada yang kurang pik yang dulu sama mobil putih dan tong merah pelis min,,positif
serusekali gemeny,,negatif
ff max bagus gerafiknya bagus pokoknya harus download ff max,,positif
enak banget,,positif
sangat bagus,,positif
untuk saya bermain cs ranked kok saya selalu mendapat tim yang agak jelek sampai kadang kadang menang kadangkadang kalah kartu perlindungan ku habis tolong kasih tim baik saya berterimakasih karena saya sudah spin satu kali dapet di tinju harimau terimakasih garena,,negatif
aku sangat sangat sangat sukaaa,,positif
ff burik masak gak pacak login lebih baik ml,,negatif
sangat seru,,positif
gem ya bagus,,positif
wah geme ini sangat bangus dan lebih realistis tapi sayang nya tiba slinnyal nya menjadi padahal baru beli kauta,,positif
game nya baguss dan gaada iklan sama skali,,positif
aku main game ml tapi aku kangen sama ff,,positif
game ini sangat bagus,,positif
bagus sekali,,positif
bagus banget permainannya,,positif
senang,,negatif
epep game ko ntol asuuuuuuuuuuuuuuuuuuuuu,,negatif
maap mau nanya garena gem nya gak jelas saya login keluar sendiri padahal udah login loh gem nya perbaiki lagi masih ada bak nya coba ada in lagi senjata baru terimakasih,,negatif
main pas mood doang,,negatif
free fire semakin maju,,negatif
bagus gamenya seru pertempuran paling bagus permudah misinya mendapatkan bundle dan skin lainya hanya dengan login permudah pembelian shop ff dari satu juta diamond untuk beli bundle jadi seratus diamond kebawah biar harga terjangkau murah meriah dan spinan dm jadi dm dan sepinan dm jadi dm saja saya ingin karakter ff bis rebahan dan duduk di mode rank dan diamond gratis di loby kapal sebelum perang perbanyak map barunya salam boyahh,,positif
geme nya sangat bagus,,positif
terbaik,,positif
free fire nya bagus banget tapi sayang nya malah di hpus sama ayah ku katanya gara permainan ini aku jadi gk fokus belajar dan juga jadi banyak no cowok di wa ku karena ada permainan initapi permainan ini kan seru,,positif
saya mencintai ff dan indonesia,,positif
game nya bagus ada skin keren,,positif
bagus,,positif
mantap,,positif
karena game nya seru bagus menarik dan buriiik,,positif
bagus euyyykali kali minta dm min,,positif
sangat keren,,positif
heh bot buat luh yang komen jelek hp luh pada ajh yang ketang hp ketang ko maksa main ff,,negatif
asik banget,,positif
kenapa saya login ko layar hitam atau putih mohon ditindak lanjuti,,negatif
seru,,positif
mau masuk malah nyalahin jaringannya padahal jaringannya bagus tapi ga bisa masuk,,negatif
game mantap ini,,positif
gemnya bagus dan seru,,positif
game seru,,positif
untuk event perjalanan pelarian sekarang apakah garena tidak mau mengasih hadiah utama karena menurut saya hadiah utama tidak di beri karena menurut saya saat saya berhasil memilih kotak secara berulang kotak lain mendapatkan hadiah utama setelah saya memilih kotak lain malah kotak yang sebelumnya saya pilih yang dapat berulang kali jadi saya kecewa sekali dan saya kasih bintang supaya barada di atas,,positif
permainan yang gg,,negatif
game ini sangat keren,,positif
baru aja login hari iniudah isu jaringan muter muter muluuu trus udah masuk gabisa whisperudah ketik pesan tapi tiba tiba hilang dan gabisa kirim karena pesan kosong anehh bat makin malas buat login,,negatif
jadi keinget kayak dulu,,negatif
asu,,negatif
kasi lawan tidak seimbang bikin hape ngelek baget,,negatif
gem nya seru tapi akun ya ilang tolong perbaiki garena,,positif
kasih bot gw masih pemula ketemu player jago terus,,negatif
f di hati,,netral
game aneh aktifkan layanan lokasi udah di izin kan tapi gk bisa maen br atau cs rankgame lol estimasi angka tapi nunggu sampe menitgak usah download ni game,,negatif
seru,,positif
minn akuu mau main ff lagi tapi hp ku udh jelek jadi harus nunggu beli hp baru,,negatif
ak sangat suka,,positif
dari sekian ribu pengguna ff dengan berbagai keluhan nya ga ada yg di respon oleh pihak garena miris,,negatif
seruu tapi ga serame dulu,,positif
mantap,,positif
keren banget make data smaa wifi delay,,positif
game nya asik banget cookkk,,positif
bang sehat terus dan mengintas nya cepat,,positif
oke,,negatif
geme ini bagus sekali,,positif
bagus,,positif
keren,,positif
kenapa setiap login tidak bisa main hanya bisa diem di lobi saja,,negatif
baru buka masa black screen apaan coba mau main malah ngga bisa,,negatif
aku suka sama gaem ini,,positif
peak old tolong kembalikan,,negatif
gem ya bagus aku kembali lagi,,positif
game ini bagus tapi kenapa kayak yang ngetrol,,positif
game seru kalo main sama teman,,positif
apik,,negatif
karna enakan ff,,positif
bagus,,positif
lumayan bagus,,positif
bagus lhh,,positif
game seruu,,positif
puas,,negatif
musuhnyq bot salim dulu sama kokoh,,negatif
gamebnya bagus kalo update kasih motor gratis,,positif
tolong kasi hilang aja fitur unbin nya karna banyak yg lupa kode nya dan juga banyak akun yg hilang,,negatif
gm nya seruh bngat,,positif
sangat sangat baik di metro ini,,positif
terimakasih untuk game free fire telah menemani ku selama ini aku rehat dulu bayy,,positif
gem ini sangat baguss,,positif
mantap,,positif
gamenya bagus sudh tapi banyak bug bug yg aneh contoh bug jaringan bug bandel dan bug map dimohon perbaiki secepatnya,,negatif
pokok mantap,,positif
game ini terbaik dihidupku,,positif
