userName,score,at,content,content_casefold,cleaned,tokens,filtered,stemmed,preprocessed
Apry,1,2025-10-04 08:13:33,Akun aku keban terus padahal baru login😔😭,akun aku keban terus padahal baru login😔😭,akun aku keban terus padahal baru login,"['akun', 'aku', 'keban', 'terus', 'padahal', 'baru', 'login']","['akun', 'aku', 'keban', 'terus', 'padahal', 'baru', 'login']","['akun', 'aku', 'ban', 'terus', 'padahal', 'baru', 'login']",akun aku ban terus padahal baru login
Steven Gultom,5,2025-10-04 08:12:29,karena game ini sangat seru danenyenangkan,karena game ini sangat seru danenyenangkan,karena game ini sangat seru danenyenangkan,"['karena', 'game', 'ini', 'sangat', 'seru', 'danenyenangkan']","['game', 'sangat', 'seru', 'danenyenangkan']","['game', 'sangat', 'seru', 'danenyenangkan']",game sangat seru danenyenangkan
Arif Rahman,5,2025-10-04 08:08:09,ok,ok,ok,['ok'],[],[],
Ranto Purba,5,2025-10-04 08:07:43,ff harus lebih baik,ff harus lebih baik,ff harus lebih baik,"['ff', 'harus', 'lebih', 'baik']","['ff', 'lebih', 'baik']","['ff', 'lebih', 'baik']",ff lebih baik
Rahmat Rumbia,1,2025-10-04 08:05:55,game ga guna,game ga guna,game ga guna,"['game', 'ga', 'guna']","['game', 'ga']","['game', 'ga']",game ga
Fauzi Gucci,5,2025-10-04 08:03:32,bagus lah pokoknya,bagus lah pokoknya,bagus lah pokoknya,"['bagus', 'lah', 'pokoknya']","['bagus', 'lah', 'pokoknya']","['bagus', 'lah', 'pokok']",bagus lah pokok
Fadhil Mirzaki,1,2025-10-04 07:57:53,ff game kagak guna masak akun nya bang Budi panutan gua di blokir,ff game kagak guna masak akun nya bang budi panutan gua di blokir,ff game kagak guna masak akun nya bang budi panutan gua di blokir,"['ff', 'game', 'kagak', 'guna', 'masak', 'akun', 'nya', 'bang', 'budi', 'panutan', 'gua', 'di', 'blokir']","['ff', 'game', 'kagak', 'masak', 'akun', 'nya', 'bang', 'budi', 'panutan', 'gua', 'blokir']","['ff', 'game', 'kagak', 'masak', 'akun', 'nya', 'bang', 'budi', 'panutan', 'gua', 'blokir']",ff game kagak masak akun nya bang budi panutan gua blokir
Nuri Zainuri,1,2025-10-04 07:56:59,kenapa setiap habis main lalu keluar dari game terus pas login data game kehapus semua dan harus download ulang,kenapa setiap habis main lalu keluar dari game terus pas login data game kehapus semua dan harus download ulang,kenapa setiap habis main lalu keluar dari game terus pas login data game kehapus semua dan harus download ulang,"['kenapa', 'setiap', 'habis', 'main', 'lalu', 'keluar', 'dari', 'game', 'terus', 'pas', 'login', 'data', 'game', 'kehapus', 'semua', 'dan', 'harus', 'download', 'ulang']","['habis', 'main', 'lalu', 'keluar', 'game', 'terus', 'pas', 'login', 'data', 'game', 'kehapus', 'semua', 'download', 'ulang']","['habis', 'main', 'lalu', 'keluar', 'game', 'terus', 'pas', 'login', 'data', 'game', 'hapus', 'semua', 'download', 'ulang']",habis main lalu keluar game terus pas login data game hapus semua download ulang
Indra Gaming,4,2025-10-04 07:49:11,Min Sekali Kali Collab Ama Semua Perguruan Pencak Silat Min🗿,min sekali kali collab ama semua perguruan pencak silat min🗿,min sekali kali collab ama semua perguruan pencak silat min,"['min', 'sekali', 'kali', 'collab', 'ama', 'semua', 'perguruan', 'pencak', 'silat', 'min']","['min', 'sekali', 'kali', 'collab', 'ama', 'semua', 'perguruan', 'pencak', 'silat', 'min']","['min', 'sekali', 'kali', 'collab', 'ama', 'semua', 'guru', 'pencak', 'silat', 'min']",min sekali kali collab ama semua guru pencak silat min
Lidia siska,1,2025-10-04 07:48:20,we need old peak,we need old peak,we need old peak,"['we', 'need', 'old', 'peak']","['we', 'need', 'old', 'peak']","['we', 'need', 'old', 'peak']",we need old peak
Sahru Ronadhon,5,2025-10-04 07:48:04,gem nya bagus tapi aku di kasih kalah mulu tolong ya kasih menag trus,gem nya bagus tapi aku di kasih kalah mulu tolong ya kasih menag trus,gem nya bagus tapi aku di kasih kalah mulu tolong ya kasih menag trus,"['gem', 'nya', 'bagus', 'tapi', 'aku', 'di', 'kasih', 'kalah', 'mulu', 'tolong', 'ya', 'kasih', 'menag', 'trus']","['gem', 'nya', 'bagus', 'aku', 'kasih', 'kalah', 'mulu', 'kasih', 'menag', 'trus']","['gem', 'nya', 'bagus', 'aku', 'kasih', 'kalah', 'mulu', 'kasih', 'menag', 'trus']",gem nya bagus aku kasih kalah mulu kasih menag trus
Mardiantodion Dion,5,2025-10-04 07:47:44,ff ok,ff ok,ff ok,"['ff', 'ok']",['ff'],['ff'],ff
Ayu Kah,1,2025-10-04 07:46:18,tidak bisa login,tidak bisa login,tidak bisa login,"['tidak', 'bisa', 'login']",['login'],['login'],login
Niza,5,2025-10-04 07:45:17,sangat seru,sangat seru,sangat seru,"['sangat', 'seru']","['sangat', 'seru']","['sangat', 'seru']",sangat seru
Eni Hidayati,5,2025-10-04 07:45:09,bagus tapi tolong kembalikan peak yang dulu,bagus tapi tolong kembalikan peak yang dulu,bagus tapi tolong kembalikan peak yang dulu,"['bagus', 'tapi', 'tolong', 'kembalikan', 'peak', 'yang', 'dulu']","['bagus', 'kembalikan', 'peak', 'dulu']","['bagus', 'kembali', 'peak', 'dulu']",bagus kembali peak dulu
Abdulloh Syauqi,5,2025-10-04 07:36:48,I love freefire,i love freefire,i love freefire,"['i', 'love', 'freefire']","['i', 'love', 'freefire']","['i', 'love', 'freefire']",i love freefire
Sujini 778,1,2025-10-04 07:35:40,Garena tolong kembalikan akun ku Garena plis 😭😭😭😭,garena tolong kembalikan akun ku garena plis 😭😭😭😭,garena tolong kembalikan akun ku garena plis,"['garena', 'tolong', 'kembalikan', 'akun', 'ku', 'garena', 'plis']","['garena', 'kembalikan', 'akun', 'ku', 'garena', 'plis']","['garena', 'kembali', 'akun', 'ku', 'garena', 'plis']",garena kembali akun ku garena plis
Mal,1,2025-10-04 07:27:58,geme burik mending War thunder mobile atau wotb yg GK kaku,geme burik mending war thunder mobile atau wotb yg gk kaku,geme burik mending war thunder mobile atau wotb yg gk kaku,"['geme', 'burik', 'mending', 'war', 'thunder', 'mobile', 'atau', 'wotb', 'yg', 'gk', 'kaku']","['geme', 'burik', 'mending', 'war', 'thunder', 'mobile', 'wotb', 'yg', 'gk', 'kaku']","['geme', 'burik', 'mending', 'war', 'thunder', 'mobile', 'wotb', 'yg', 'gk', 'kaku']",geme burik mending war thunder mobile wotb yg gk kaku
Filz Mode of,1,2025-10-04 07:26:58,karna bg Budi GK di boleh kan main rank game nya super burikkk,karna bg budi gk di boleh kan main rank game nya super burikkk,karna bg budi gk di boleh kan main rank game nya super burikkk,"['karna', 'bg', 'budi', 'gk', 'di', 'boleh', 'kan', 'main', 'rank', 'game', 'nya', 'super', 'burikkk']","['karna', 'bg', 'budi', 'gk', 'kan', 'main', 'rank', 'game', 'nya', 'super', 'burikkk']","['karna', 'bg', 'budi', 'gk', 'kan', 'main', 'rank', 'game', 'nya', 'super', 'burikkk']",karna bg budi gk kan main rank game nya super burikkk
nona ambon,5,2025-10-04 07:25:22,ini game sangat seru ini game banyak koleb nya aku suka,ini game sangat seru ini game banyak koleb nya aku suka,ini game sangat seru ini game banyak koleb nya aku suka,"['ini', 'game', 'sangat', 'seru', 'ini', 'game', 'banyak', 'koleb', 'nya', 'aku', 'suka']","['game', 'sangat', 'seru', 'game', 'banyak', 'koleb', 'nya', 'aku', 'suka']","['game', 'sangat', 'seru', 'game', 'banyak', 'koleb', 'nya', 'aku', 'suka']",game sangat seru game banyak koleb nya aku suka
Rina Dewita,5,2025-10-04 07:16:22,karena asik,karena asik,karena asik,"['karena', 'asik']",['asik'],['asik'],asik
Dosmaripa85 com Ripa,5,2025-10-04 07:11:34,mantap sob,mantap sob,mantap sob,"['mantap', 'sob']","['mantap', 'sob']","['mantap', 'sob']",mantap sob
drima Farfad,5,2025-10-04 07:06:59,coba aja pas masuk dapat diamon 100 pasti aku senang dan semua orang,coba aja pas masuk dapat diamon 100 pasti aku senang dan semua orang,coba aja pas masuk dapat diamon pasti aku senang dan semua orang,"['coba', 'aja', 'pas', 'masuk', 'dapat', 'diamon', 'pasti', 'aku', 'senang', 'dan', 'semua', 'orang']","['coba', 'aja', 'pas', 'masuk', 'diamon', 'aku', 'senang', 'semua', 'orang']","['coba', 'aja', 'pas', 'masuk', 'diamon', 'aku', 'senang', 'semua', 'orang']",coba aja pas masuk diamon aku senang semua orang
Muhammad arif Irfansyah,1,2025-10-04 06:54:19,Game nya banyak bug mulai glowal delay walaupun jaringan stabil dan demeg bug ke musuh,game nya banyak bug mulai glowal delay walaupun jaringan stabil dan demeg bug ke musuh,game nya banyak bug mulai glowal delay walaupun jaringan stabil dan demeg bug ke musuh,"['game', 'nya', 'banyak', 'bug', 'mulai', 'glowal', 'delay', 'walaupun', 'jaringan', 'stabil', 'dan', 'demeg', 'bug', 'ke', 'musuh']","['game', 'nya', 'banyak', 'bug', 'mulai', 'glowal', 'delay', 'walaupun', 'jaringan', 'stabil', 'demeg', 'bug', 'musuh']","['game', 'nya', 'banyak', 'bug', 'mulai', 'glowal', 'delay', 'walaupun', 'jaring', 'stabil', 'deg', 'bug', 'musuh']",game nya banyak bug mulai glowal delay walaupun jaring stabil deg bug musuh
GILANGG,1,2025-10-04 06:54:17,masa pas aku main bsok nya update pack bahasa lalu data data geme nya suruh donlod ulang tolong perbaiki bug ini,masa pas aku main bsok nya update pack bahasa lalu data data geme nya suruh donlod ulang tolong perbaiki bug ini,masa pas aku main bsok nya update pack bahasa lalu data data geme nya suruh donlod ulang tolong perbaiki bug ini,"['masa', 'pas', 'aku', 'main', 'bsok', 'nya', 'update', 'pack', 'bahasa', 'lalu', 'data', 'data', 'geme', 'nya', 'suruh', 'donlod', 'ulang', 'tolong', 'perbaiki', 'bug', 'ini']","['masa', 'pas', 'aku', 'main', 'bsok', 'nya', 'update', 'pack', 'bahasa', 'lalu', 'data', 'data', 'geme', 'nya', 'suruh', 'donlod', 'ulang', 'perbaiki', 'bug']","['masa', 'pas', 'aku', 'main', 'bsok', 'nya', 'update', 'pack', 'bahasa', 'lalu', 'data', 'data', 'geme', 'nya', 'suruh', 'donlod', 'ulang', 'baik', 'bug']",masa pas aku main bsok nya update pack bahasa lalu data data geme nya suruh donlod ulang baik bug
Azurah Khanza Khanza,3,2025-10-04 06:54:06,garena gw bosen main epep,garena gw bosen main epep,garena gw bosen main epep,"['garena', 'gw', 'bosen', 'main', 'epep']","['garena', 'gw', 'bosen', 'main', 'epep']","['garena', 'gw', 'bosen', 'main', 'epep']",garena gw bosen main epep
Adel,4,2025-10-04 06:47:21,bagus banget tapi agak ngelek,bagus banget tapi agak ngelek,bagus banget tapi agak ngelek,"['bagus', 'banget', 'tapi', 'agak', 'ngelek']","['bagus', 'banget', 'ngelek']","['bagus', 'banget', 'ngelek']",bagus banget ngelek
Deden Kurniawan,5,2025-10-04 06:44:00,"suka banget lovvvv you Garena aku seneng bisa ketemu Garena seru, lucu nemenin kalo lagi galau, seneng, berduka dan lain lain","suka banget lovvvv you garena aku seneng bisa ketemu garena seru, lucu nemenin kalo lagi galau, seneng, berduka dan lain lain",suka banget lovvvv you garena aku seneng bisa ketemu garena seru lucu nemenin kalo lagi galau seneng berduka dan lain lain,"['suka', 'banget', 'lovvvv', 'you', 'garena', 'aku', 'seneng', 'bisa', 'ketemu', 'garena', 'seru', 'lucu', 'nemenin', 'kalo', 'lagi', 'galau', 'seneng', 'berduka', 'dan', 'lain', 'lain']","['suka', 'banget', 'lovvvv', 'you', 'garena', 'aku', 'seneng', 'ketemu', 'garena', 'seru', 'lucu', 'nemenin', 'kalo', 'galau', 'seneng', 'berduka']","['suka', 'banget', 'lovvvv', 'you', 'garena', 'aku', 'neng', 'ketemu', 'garena', 'seru', 'lucu', 'nemenin', 'kalo', 'galau', 'neng', 'duka']",suka banget lovvvv you garena aku neng ketemu garena seru lucu nemenin kalo galau neng duka
Andira Pebrianti,5,2025-10-04 06:43:07,bagus banget,bagus banget,bagus banget,"['bagus', 'banget']","['bagus', 'banget']","['bagus', 'banget']",bagus banget
Alfino Geofani,1,2025-10-04 06:41:42,game banyak Bug y jaringan,game banyak bug y jaringan,game banyak bug y jaringan,"['game', 'banyak', 'bug', 'y', 'jaringan']","['game', 'banyak', 'bug', 'y', 'jaringan']","['game', 'banyak', 'bug', 'y', 'jaring']",game banyak bug y jaring
Adna Ali pirdaus,5,2025-10-04 06:39:55,Gem play nya bagus. Tapi sedikit ada kesalahan kalo main jaringan nya ngelek kalo di lobi jaringan nya lancar..,gem play nya bagus. tapi sedikit ada kesalahan kalo main jaringan nya ngelek kalo di lobi jaringan nya lancar..,gem play nya bagus tapi sedikit ada kesalahan kalo main jaringan nya ngelek kalo di lobi jaringan nya lancar,"['gem', 'play', 'nya', 'bagus', 'tapi', 'sedikit', 'ada', 'kesalahan', 'kalo', 'main', 'jaringan', 'nya', 'ngelek', 'kalo', 'di', 'lobi', 'jaringan', 'nya', 'lancar']","['gem', 'play', 'nya', 'bagus', 'sedikit', 'kesalahan', 'kalo', 'main', 'jaringan', 'nya', 'ngelek', 'kalo', 'lobi', 'jaringan', 'nya', 'lancar']","['gem', 'play', 'nya', 'bagus', 'sedikit', 'salah', 'kalo', 'main', 'jaring', 'nya', 'ngelek', 'kalo', 'lobi', 'jaring', 'nya', 'lancar']",gem play nya bagus sedikit salah kalo main jaring nya ngelek kalo lobi jaring nya lancar
LORD ITACI,5,2025-10-04 06:39:22,ffff jaya,ffff jaya,ffff jaya,"['ffff', 'jaya']","['ffff', 'jaya']","['ffff', 'jaya']",ffff jaya
Martin Martitin,2,2025-10-04 06:38:26,haduh pihak Garena tolong perbaikin ini game biar rame kaya dulu lagi contoh kerusakan yang saya alami mencet tombol seperti menembak masang glowall.terkadang dan keseringan kaya lag atau ga bisa tertembak atau terpasang malah cuma kaya megang glowall aja tapi ga masang dan lagi terkadang walau sudah bisa di balik dinding tapi masih saja bisa mati tertembak aneh,haduh pihak garena tolong perbaikin ini game biar rame kaya dulu lagi contoh kerusakan yang saya alami mencet tombol seperti menembak masang glowall.terkadang dan keseringan kaya lag atau ga bisa tertembak atau terpasang malah cuma kaya megang glowall aja tapi ga masang dan lagi terkadang walau sudah bisa di balik dinding tapi masih saja bisa mati tertembak aneh,haduh pihak garena tolong perbaikin ini game biar rame kaya dulu lagi contoh kerusakan yang saya alami mencet tombol seperti menembak masang glowallterkadang dan keseringan kaya lag atau ga bisa tertembak atau terpasang malah cuma kaya megang glowall aja tapi ga masang dan lagi terkadang walau sudah bisa di balik dinding tapi masih saja bisa mati tertembak aneh,"['haduh', 'pihak', 'garena', 'tolong', 'perbaikin', 'ini', 'game', 'biar', 'rame', 'kaya', 'dulu', 'lagi', 'contoh', 'kerusakan', 'yang', 'saya', 'alami', 'mencet', 'tombol', 'seperti', 'menembak', 'masang', 'glowallterkadang', 'dan', 'keseringan', 'kaya', 'lag', 'atau', 'ga', 'bisa', 'tertembak', 'atau', 'terpasang', 'malah', 'cuma', 'kaya', 'megang', 'glowall', 'aja', 'tapi', 'ga', 'masang', 'dan', 'lagi', 'terkadang', 'walau', 'sudah', 'bisa', 'di', 'balik', 'dinding', 'tapi', 'masih', 'saja', 'bisa', 'mati', 'tertembak', 'aneh']","['haduh', 'pihak', 'garena', 'perbaikin', 'game', 'biar', 'rame', 'kaya', 'dulu', 'contoh', 'kerusakan', 'alami', 'mencet', 'tombol', 'menembak', 'masang', 'glowallterkadang', 'keseringan', 'kaya', 'lag', 'ga', 'tertembak', 'terpasang', 'malah', 'cuma', 'kaya', 'megang', 'glowall', 'aja', 'ga', 'masang', 'terkadang', 'balik', 'dinding', 'mati', 'tertembak', 'aneh']","['haduh', 'pihak', 'garena', 'perbaikin', 'game', 'biar', 'rame', 'kaya', 'dulu', 'contoh', 'rusa', 'alami', 'mencet', 'tombol', 'tembak', 'masang', 'glowallterkadang', 'sering', 'kaya', 'lag', 'ga', 'tembak', 'pasang', 'malah', 'cuma', 'kaya', 'megang', 'glowall', 'aja', 'ga', 'masang', 'terkadang', 'balik', 'dinding', 'mati', 'tembak', 'aneh']",haduh pihak garena perbaikin game biar rame kaya dulu contoh rusa alami mencet tombol tembak masang glowallterkadang sering kaya lag ga tembak pasang malah cuma kaya megang glowall aja ga masang terkadang balik dinding mati tembak aneh
Fakeh Udin,1,2025-10-04 06:37:50,"ini gimana garena ff gw ko, kalo engga login 1/2 hari harus donlod vauld senjata dll ini gimana ni garena tolong lah garena ff gw di perbaiki kalo engga gw mau pindah gem aja","ini gimana garena ff gw ko, kalo engga login 1/2 hari harus donlod vauld senjata dll ini gimana ni garena tolong lah garena ff gw di perbaiki kalo engga gw mau pindah gem aja",ini gimana garena ff gw ko kalo engga login hari harus donlod vauld senjata dll ini gimana ni garena tolong lah garena ff gw di perbaiki kalo engga gw mau pindah gem aja,"['ini', 'gimana', 'garena', 'ff', 'gw', 'ko', 'kalo', 'engga', 'login', 'hari', 'harus', 'donlod', 'vauld', 'senjata', 'dll', 'ini', 'gimana', 'ni', 'garena', 'tolong', 'lah', 'garena', 'ff', 'gw', 'di', 'perbaiki', 'kalo', 'engga', 'gw', 'mau', 'pindah', 'gem', 'aja']","['gimana', 'garena', 'ff', 'gw', 'ko', 'kalo', 'engga', 'login', 'hari', 'donlod', 'vauld', 'senjata', 'gimana', 'ni', 'garena', 'lah', 'garena', 'ff', 'gw', 'perbaiki', 'kalo', 'engga', 'gw', 'mau', 'pindah', 'gem', 'aja']","['gimana', 'garena', 'ff', 'gw', 'ko', 'kalo', 'engga', 'login', 'hari', 'donlod', 'vauld', 'senjata', 'gimana', 'ni', 'garena', 'lah', 'garena', 'ff', 'gw', 'baik', 'kalo', 'engga', 'gw', 'mau', 'pindah', 'gem', 'aja']",gimana garena ff gw ko kalo engga login hari donlod vauld senjata gimana ni garena lah garena ff gw baik kalo engga gw mau pindah gem aja
Dian Nafi,2,2025-10-04 06:37:28,males main epep karna gak bisa login gak bisa main di mec di br di cs,males main epep karna gak bisa login gak bisa main di mec di br di cs,males main epep karna gak bisa login gak bisa main di mec di br di cs,"['males', 'main', 'epep', 'karna', 'gak', 'bisa', 'login', 'gak', 'bisa', 'main', 'di', 'mec', 'di', 'br', 'di', 'cs']","['males', 'main', 'epep', 'karna', 'gak', 'login', 'gak', 'main', 'mec', 'br', 'cs']","['males', 'main', 'epep', 'karna', 'gak', 'login', 'gak', 'main', 'mec', 'br', 'cs']",males main epep karna gak login gak main mec br cs
Dadang234,5,2025-10-04 06:32:37,jarena main free fire seru,jarena main free fire seru,jarena main free fire seru,"['jarena', 'main', 'free', 'fire', 'seru']","['jarena', 'main', 'free', 'fire', 'seru']","['jarena', 'main', 'free', 'fire', 'seru']",jarena main free fire seru
Lanang sped,1,2025-10-04 06:30:57,"minimal balikin akun bg budi lah, garena oot😹🥀","minimal balikin akun bg budi lah, garena oot😹🥀",minimal balikin akun bg budi lah garena oot,"['minimal', 'balikin', 'akun', 'bg', 'budi', 'lah', 'garena', 'oot']","['minimal', 'balikin', 'akun', 'bg', 'budi', 'lah', 'garena', 'oot']","['minimal', 'balikin', 'akun', 'bg', 'budi', 'lah', 'garena', 'oot']",minimal balikin akun bg budi lah garena oot
Susset_ Indah82,5,2025-10-04 06:25:52,bagus,bagus,bagus,['bagus'],['bagus'],['bagus'],bagus
Fienchent Toding,1,2025-10-04 06:25:08,game busuk nembak musuh 2 hit gk mti giluran musuh 2 hit mti game busukkk,game busuk nembak musuh 2 hit gk mti giluran musuh 2 hit mti game busukkk,game busuk nembak musuh hit gk mti giluran musuh hit mti game busukkk,"['game', 'busuk', 'nembak', 'musuh', 'hit', 'gk', 'mti', 'giluran', 'musuh', 'hit', 'mti', 'game', 'busukkk']","['game', 'busuk', 'nembak', 'musuh', 'hit', 'gk', 'mti', 'giluran', 'musuh', 'hit', 'mti', 'game', 'busukkk']","['game', 'busuk', 'nembak', 'musuh', 'hit', 'gk', 'mti', 'giluran', 'musuh', 'hit', 'mti', 'game', 'busukkk']",game busuk nembak musuh hit gk mti giluran musuh hit mti game busukkk
Sangalan Way,5,2025-10-04 06:23:53,Gamenya sangat bagus banyak event yang keren.Kalian harus main juga pokoknya bagus banget aku kasih bintang 5,gamenya sangat bagus banyak event yang keren.kalian harus main juga pokoknya bagus banget aku kasih bintang 5,gamenya sangat bagus banyak event yang kerenkalian harus main juga pokoknya bagus banget aku kasih bintang,"['gamenya', 'sangat', 'bagus', 'banyak', 'event', 'yang', 'kerenkalian', 'harus', 'main', 'juga', 'pokoknya', 'bagus', 'banget', 'aku', 'kasih', 'bintang']","['gamenya', 'sangat', 'bagus', 'banyak', 'event', 'kerenkalian', 'main', 'pokoknya', 'bagus', 'banget', 'aku', 'kasih', 'bintang']","['gamenya', 'sangat', 'bagus', 'banyak', 'event', 'kerenkalian', 'main', 'pokok', 'bagus', 'banget', 'aku', 'kasih', 'bintang']",gamenya sangat bagus banyak event kerenkalian main pokok bagus banget aku kasih bintang
Suparmo Parmo,5,2025-10-04 06:23:51,seru,seru,seru,['seru'],['seru'],['seru'],seru
Effendi (Dreg'd),1,2025-10-04 06:22:40,"yth garena, diperketat lgi sistem nya, nasib bnyk yg gunakan aplikasi tambahan, nmun sistem garena nya gk bisa bekerja, tolong di perbaiki sistem nya, game paling buruk klo sistemnya gk bekerja","yth garena, diperketat lgi sistem nya, nasib bnyk yg gunakan aplikasi tambahan, nmun sistem garena nya gk bisa bekerja, tolong di perbaiki sistem nya, game paling buruk klo sistemnya gk bekerja",yth garena diperketat lgi sistem nya nasib bnyk yg gunakan aplikasi tambahan nmun sistem garena nya gk bisa bekerja tolong di perbaiki sistem nya game paling buruk klo sistemnya gk bekerja,"['yth', 'garena', 'diperketat', 'lgi', 'sistem', 'nya', 'nasib', 'bnyk', 'yg', 'gunakan', 'aplikasi', 'tambahan', 'nmun', 'sistem', 'garena', 'nya', 'gk', 'bisa', 'bekerja', 'tolong', 'di', 'perbaiki', 'sistem', 'nya', 'game', 'paling', 'buruk', 'klo', 'sistemnya', 'gk', 'bekerja']","['yth', 'garena', 'diperketat', 'lgi', 'sistem', 'nya', 'nasib', 'bnyk', 'yg', 'gunakan', 'aplikasi', 'tambahan', 'nmun', 'sistem', 'garena', 'nya', 'gk', 'bekerja', 'perbaiki', 'sistem', 'nya', 'game', 'paling', 'buruk', 'klo', 'sistemnya', 'gk', 'bekerja']","['yth', 'garena', 'ketat', 'lgi', 'sistem', 'nya', 'nasib', 'bnyk', 'yg', 'guna', 'aplikasi', 'tambah', 'nmun', 'sistem', 'garena', 'nya', 'gk', 'kerja', 'baik', 'sistem', 'nya', 'game', 'paling', 'buruk', 'klo', 'sistem', 'gk', 'kerja']",yth garena ketat lgi sistem nya nasib bnyk yg guna aplikasi tambah nmun sistem garena nya gk kerja baik sistem nya game paling buruk klo sistem gk kerja
Muhammad Alfin,1,2025-10-04 06:20:41,"balikin akun gw,balikin Budi01gaming,balikin topi jerami ungu🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥","balikin akun gw,balikin budi01gaming,balikin topi jerami ungu🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥",balikin akun gwbalikin budigamingbalikin topi jerami ungu,"['balikin', 'akun', 'gwbalikin', 'budigamingbalikin', 'topi', 'jerami', 'ungu']","['balikin', 'akun', 'gwbalikin', 'budigamingbalikin', 'topi', 'jerami', 'ungu']","['balikin', 'akun', 'gwbalikin', 'budigamingbalikin', 'topi', 'jerami', 'ungu']",balikin akun gwbalikin budigamingbalikin topi jerami ungu
Yga Yah,1,2025-10-04 06:17:18,Gak bisa bikin game bilang,gak bisa bikin game bilang,gak bisa bikin game bilang,"['gak', 'bisa', 'bikin', 'game', 'bilang']","['gak', 'bikin', 'game', 'bilang']","['gak', 'bikin', 'game', 'bilang']",gak bikin game bilang
Raga Men,1,2025-10-04 06:17:14,tidak seru,tidak seru,tidak seru,"['tidak', 'seru']",['seru'],['seru'],seru
Desta Aditya,1,2025-10-04 06:10:53,game kikir,game kikir,game kikir,"['game', 'kikir']","['game', 'kikir']","['game', 'kikir']",game kikir
Aiagkn 1246,5,2025-10-04 06:10:16,iya aku suka free fire tapi yg GK gua suka kalo Nye pin kagak dikasi hoki cokc,iya aku suka free fire tapi yg gk gua suka kalo nye pin kagak dikasi hoki cokc,iya aku suka free fire tapi yg gk gua suka kalo nye pin kagak dikasi hoki cokc,"['iya', 'aku', 'suka', 'free', 'fire', 'tapi', 'yg', 'gk', 'gua', 'suka', 'kalo', 'nye', 'pin', 'kagak', 'dikasi', 'hoki', 'cokc']","['iya', 'aku', 'suka', 'free', 'fire', 'yg', 'gk', 'gua', 'suka', 'kalo', 'nye', 'pin', 'kagak', 'dikasi', 'hoki', 'cokc']","['iya', 'aku', 'suka', 'free', 'fire', 'yg', 'gk', 'gua', 'suka', 'kalo', 'nye', 'pin', 'kagak', 'kasi', 'hoki', 'cokc']",iya aku suka free fire yg gk gua suka kalo nye pin kagak kasi hoki cokc
Wisky shark,1,2025-10-04 06:10:02,GAME SAMPAH skil karakter pada gak jelas bug banyak citer marakkk,game sampah skil karakter pada gak jelas bug banyak citer marakkk,game sampah skil karakter pada gak jelas bug banyak citer marakkk,"['game', 'sampah', 'skil', 'karakter', 'pada', 'gak', 'jelas', 'bug', 'banyak', 'citer', 'marakkk']","['game', 'sampah', 'skil', 'karakter', 'gak', 'jelas', 'bug', 'banyak', 'citer', 'marakkk']","['game', 'sampah', 'skil', 'karakter', 'gak', 'jelas', 'bug', 'banyak', 'citer', 'marakkk']",game sampah skil karakter gak jelas bug banyak citer marakkk
Rehan afandi,5,2025-10-04 06:05:32,bagus,bagus,bagus,['bagus'],['bagus'],['bagus'],bagus
Lutvi Alicia,1,2025-10-04 06:05:26,gem ini burik burik jangan donlod masa sinyalku bagus masa sinyal di ff ngeleg gem gj ge burik,gem ini burik burik jangan donlod masa sinyalku bagus masa sinyal di ff ngeleg gem gj ge burik,gem ini burik burik jangan donlod masa sinyalku bagus masa sinyal di ff ngeleg gem gj ge burik,"['gem', 'ini', 'burik', 'burik', 'jangan', 'donlod', 'masa', 'sinyalku', 'bagus', 'masa', 'sinyal', 'di', 'ff', 'ngeleg', 'gem', 'gj', 'ge', 'burik']","['gem', 'burik', 'burik', 'jangan', 'donlod', 'masa', 'sinyalku', 'bagus', 'masa', 'sinyal', 'ff', 'ngeleg', 'gem', 'gj', 'ge', 'burik']","['gem', 'burik', 'burik', 'jangan', 'donlod', 'masa', 'sinyal', 'bagus', 'masa', 'sinyal', 'ff', 'ngeleg', 'gem', 'gj', 'ge', 'burik']",gem burik burik jangan donlod masa sinyal bagus masa sinyal ff ngeleg gem gj ge burik
Muhammad Afriadi,1,2025-10-04 06:05:26,Garena kok akun aku hilang Garena,garena kok akun aku hilang garena,garena kok akun aku hilang garena,"['garena', 'kok', 'akun', 'aku', 'hilang', 'garena']","['garena', 'kok', 'akun', 'aku', 'hilang', 'garena']","['garena', 'kok', 'akun', 'aku', 'hilang', 'garena']",garena kok akun aku hilang garena
Mutiara Melvika Br Hutapea,4,2025-10-04 06:02:49,bagus,bagus,bagus,['bagus'],['bagus'],['bagus'],bagus
