userName,score,at,content,content_casefold,cleaned,tokens,filtered,stemmed,preprocessed,Normalisasi,No_Duplikat,Bersih,Bersih_Token,Unigram,Bigram,Trigram,Bigram_Filtered,Bersih_NoStop
Triargo Joyo,5,2025-10-04 11:21:07,setia,setia,setia,['setia'],['setia'],['setia'],setia,setia,setia,setia,['setia'],"[('setia',)]",[],[],[],setia
Farid Hasan,5,2025-10-04 11:16:32,mantap,mantap,mantap,['mantap'],['mantap'],['mantap'],mantap,mantap,mantap,mantap,['mantap'],"[('mantap',)]",[],[],[],mantap
normie Risma,5,2025-10-04 11:15:45,ini sangat bagus,ini sangat bagus,ini sangat bagus,"['ini', 'sangat', 'bagus']","['sangat', 'bagus']","['sangat', 'bagus']",sangat bagus,sangat bagus,sangat bagus,sangat bagus,"['sangat', 'bagus']","[('sangat',), ('bagus',)]","[('sangat', 'bagus')]",[],"[('sangat', 'bagus')]",sangat bagus
Andhika Dimas prasetya,5,2025-10-04 11:11:37,bagus,bagus,bagus,['bagus'],['bagus'],['bagus'],bagus,bagus,bagus,bagus,['bagus'],"[('bagus',)]",[],[],[],bagus
Dewi Masithoh,5,2025-10-04 11:05:12,bagus,bagus,bagus,['bagus'],['bagus'],['bagus'],bagus,bagus,bagus,bagus,['bagus'],"[('bagus',)]",[],[],[],bagus
Farel Nazrul,5,2025-10-04 11:03:49,min kapan SG trompet di liris lagii,min kapan sg trompet di liris lagii,min kapan sg trompet di liris lagii,"['min', 'kapan', 'sg', 'trompet', 'di', 'liris', 'lagii']","['min', 'kapan', 'sg', 'trompet', 'liris', 'lagii']","['min', 'kapan', 'sg', 'trompet', 'liris', 'lagi']",min kapan sg trompet liris lagi,min kapan sg trompet liris lagi,min kapan sg trompet liris lagi,min kapan trompet liris lagi,"['min', 'kapan', 'trompet', 'liris', 'lagi']","[('min',), ('kapan',), ('trompet',), ('liris',), ('lagi',)]","[('min', 'kapan'), ('kapan', 'trompet'), ('trompet', 'liris'), ('liris', 'lagi')]","[('min', 'kapan', 'trompet'), ('kapan', 'trompet', 'liris'), ('trompet', 'liris', 'lagi')]","[('min', 'kapan'), ('kapan', 'trompet'), ('trompet', 'liris'), ('liris', 'lagi')]",min kapan trompet liris lagi
Anjas Saputra,5,2025-10-04 11:03:46,bagus ff sangat seru,bagus ff sangat seru,bagus ff sangat seru,"['bagus', 'ff', 'sangat', 'seru']","['bagus', 'ff', 'sangat', 'seru']","['bagus', 'ff', 'sangat', 'seru']",bagus ff sangat seru,bagus freefire sangat seru,bagus freefire sangat seru,bagus freefire sangat seru,"['bagus', 'freefire', 'sangat', 'seru']","[('bagus',), ('freefire',), ('sangat',), ('seru',)]","[('bagus', 'freefire'), ('freefire', 'sangat'), ('sangat', 'seru')]","[('bagus', 'freefire', 'sangat'), ('freefire', 'sangat', 'seru')]","[('bagus', 'freefire'), ('freefire', 'sangat'), ('sangat', 'seru')]",bagus freefire sangat seru
Naufal Dzakira Sya'Bani,1,2025-10-04 11:02:53,WOYYYYY GARENA JARINGAN NYA BETULIN DOOONGG,woyyyyy garena jaringan nya betulin dooongg,woyyyyy garena jaringan nya betulin dooongg,"['woyyyyy', 'garena', 'jaringan', 'nya', 'betulin', 'dooongg']","['woyyyyy', 'garena', 'jaringan', 'nya', 'betulin', 'dooongg']","['woyyyyy', 'garena', 'jaring', 'nya', 'betulin', 'dooongg']",woyyyyy garena jaring nya betulin dooongg,woyyyyy garena jaring nya betulin dooongg,woyyyyy garena jaring nya betulin dooongg,woy garena jaring nya betulin dongg,"['woy', 'garena', 'jaring', 'nya', 'betulin', 'dongg']","[('woy',), ('garena',), ('jaring',), ('nya',), ('betulin',), ('dongg',)]","[('woy', 'garena'), ('garena', 'jaring'), ('jaring', 'nya'), ('nya', 'betulin'), ('betulin', 'dongg')]","[('woy', 'garena', 'jaring'), ('garena', 'jaring', 'nya'), ('jaring', 'nya', 'betulin'), ('nya', 'betulin', 'dongg')]","[('woy', 'garena'), ('garena', 'jaring'), ('betulin', 'dongg')]",woy garena jaring betulin dongg
Uwais Al qarny,4,2025-10-04 10:58:57,download lagu Tapi tolong game ini pakai paket,download lagu tapi tolong game ini pakai paket,download lagu tapi tolong game ini pakai paket,"['download', 'lagu', 'tapi', 'tolong', 'game', 'ini', 'pakai', 'paket']","['download', 'lagu', 'game', 'pakai', 'paket']","['download', 'lagu', 'game', 'pakai', 'paket']",download lagu game pakai paket,download lagu permainan pakai paket,download lagu permainan pakai paket,download lagu permainan pakai paket,"['download', 'lagu', 'permainan', 'pakai', 'paket']","[('download',), ('lagu',), ('permainan',), ('pakai',), ('paket',)]","[('download', 'lagu'), ('lagu', 'permainan'), ('permainan', 'pakai'), ('pakai', 'paket')]","[('download', 'lagu', 'permainan'), ('lagu', 'permainan', 'pakai'), ('permainan', 'pakai', 'paket')]","[('download', 'lagu'), ('lagu', 'permainan'), ('permainan', 'pakai'), ('pakai', 'paket')]",download lagu permainan pakai paket
amar xzt,5,2025-10-04 10:58:51,FF nya bagus mencelupkan bagi aku,ff nya bagus mencelupkan bagi aku,ff nya bagus mencelupkan bagi aku,"['ff', 'nya', 'bagus', 'mencelupkan', 'bagi', 'aku']","['ff', 'nya', 'bagus', 'mencelupkan', 'aku']","['ff', 'nya', 'bagus', 'celup', 'aku']",ff nya bagus celup aku,freefire nya bagus celup saya,freefire nya bagus celup saya,freefire nya bagus celup saya,"['freefire', 'nya', 'bagus', 'celup', 'saya']","[('freefire',), ('nya',), ('bagus',), ('celup',), ('saya',)]","[('freefire', 'nya'), ('nya', 'bagus'), ('bagus', 'celup'), ('celup', 'saya')]","[('freefire', 'nya', 'bagus'), ('nya', 'bagus', 'celup'), ('bagus', 'celup', 'saya')]","[('bagus', 'celup'), ('celup', 'saya')]",freefire bagus celup saya
RaFzZz FF,5,2025-10-04 10:56:49,menyala,menyala,menyala,['menyala'],['menyala'],['nyala'],nyala,nyala,nyala,nyala,['nyala'],"[('nyala',)]",[],[],[],nyala
Rafka alvaro,5,2025-10-04 10:55:56,geme ini sangat seru.bagi orang orang new silahkan download FREE FIRE ini aga hidup mu menjadi ber motivasi lagi yaa cuyyy. tapi banyak citer nya garena tolong ya di basmi para citer nya 👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍,geme ini sangat seru.bagi orang orang new silahkan download free fire ini aga hidup mu menjadi ber motivasi lagi yaa cuyyy. tapi banyak citer nya garena tolong ya di basmi para citer nya 👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍,geme ini sangat serubagi orang orang new silahkan download free fire ini aga hidup mu menjadi ber motivasi lagi yaa cuyyy tapi banyak citer nya garena tolong ya di basmi para citer nya,"['geme', 'ini', 'sangat', 'serubagi', 'orang', 'orang', 'new', 'silahkan', 'download', 'free', 'fire', 'ini', 'aga', 'hidup', 'mu', 'menjadi', 'ber', 'motivasi', 'lagi', 'yaa', 'cuyyy', 'tapi', 'banyak', 'citer', 'nya', 'garena', 'tolong', 'ya', 'di', 'basmi', 'para', 'citer', 'nya']","['geme', 'sangat', 'serubagi', 'orang', 'orang', 'new', 'silahkan', 'download', 'free', 'fire', 'aga', 'hidup', 'mu', 'menjadi', 'ber', 'motivasi', 'yaa', 'cuyyy', 'banyak', 'citer', 'nya', 'garena', 'basmi', 'citer', 'nya']","['geme', 'sangat', 'serubagi', 'orang', 'orang', 'new', 'silah', 'download', 'free', 'fire', 'aga', 'hidup', 'mu', 'jadi', 'ber', 'motivasi', 'yaa', 'cuyyy', 'banyak', 'citer', 'nya', 'garena', 'basmi', 'citer', 'nya']",geme sangat serubagi orang orang new silah download free fire aga hidup mu jadi ber motivasi yaa cuyyy banyak citer nya garena basmi citer nya,permainan sangat serubagi orang orang new silah download free fire aga hidup mu jadi ber motivasi ya cuyyy banyak citer nya garena basmi citer nya,permainan sangat serubagi orang new silah download free fire aga hidup mu jadi ber motivasi ya cuyyy banyak citer nya garena basmi,permainan sangat serubagi orang new silah download free fire aga hidup jadi ber motivasi cuy banyak citer nya garena basmi,"['permainan', 'sangat', 'serubagi', 'orang', 'new', 'silah', 'download', 'free', 'fire', 'aga', 'hidup', 'jadi', 'ber', 'motivasi', 'cuy', 'banyak', 'citer', 'nya', 'garena', 'basmi']","[('permainan',), ('sangat',), ('serubagi',), ('orang',), ('new',), ('silah',), ('download',), ('free',), ('fire',), ('aga',), ('hidup',), ('jadi',), ('ber',), ('motivasi',), ('cuy',), ('banyak',), ('citer',), ('nya',), ('garena',), ('basmi',)]","[('permainan', 'sangat'), ('sangat', 'serubagi'), ('serubagi', 'orang'), ('orang', 'new'), ('new', 'silah'), ('silah', 'download'), ('download', 'free'), ('free', 'fire'), ('fire', 'aga'), ('aga', 'hidup'), ('hidup', 'jadi'), ('jadi', 'ber'), ('ber', 'motivasi'), ('motivasi', 'cuy'), ('cuy', 'banyak'), ('banyak', 'citer'), ('citer', 'nya'), ('nya', 'garena'), ('garena', 'basmi')]","[('permainan', 'sangat', 'serubagi'), ('sangat', 'serubagi', 'orang'), ('serubagi', 'orang', 'new'), ('orang', 'new', 'silah'), ('new', 'silah', 'download'), ('silah', 'download', 'free'), ('download', 'free', 'fire'), ('free', 'fire', 'aga'), ('fire', 'aga', 'hidup'), ('aga', 'hidup', 'jadi'), ('hidup', 'jadi', 'ber'), ('jadi', 'ber', 'motivasi'), ('ber', 'motivasi', 'cuy'), ('motivasi', 'cuy', 'banyak'), ('cuy', 'banyak', 'citer'), ('banyak', 'citer', 'nya'), ('citer', 'nya', 'garena'), ('nya', 'garena', 'basmi')]","[('permainan', 'sangat'), ('sangat', 'serubagi'), ('serubagi', 'orang'), ('orang', 'new'), ('new', 'silah'), ('silah', 'download'), ('download', 'free'), ('free', 'fire'), ('fire', 'aga'), ('aga', 'hidup'), ('hidup', 'jadi'), ('jadi', 'ber'), ('ber', 'motivasi'), ('motivasi', 'cuy'), ('cuy', 'banyak'), ('banyak', 'citer'), ('garena', 'basmi')]",permainan sangat serubagi orang new silah download free fire aga hidup jadi ber motivasi cuy banyak citer garena basmi
Yaho Namores,5,2025-10-04 10:50:21,Alhamdulillah hirobil nga,alhamdulillah hirobil nga,alhamdulillah hirobil nga,"['alhamdulillah', 'hirobil', 'nga']","['alhamdulillah', 'hirobil', 'nga']","['alhamdulillah', 'hirobil', 'nga']",alhamdulillah hirobil nga,alhamdulillah hirobil nga,alhamdulillah hirobil nga,alhamdulillah hirobil nga,"['alhamdulillah', 'hirobil', 'nga']","[('alhamdulillah',), ('hirobil',), ('nga',)]","[('alhamdulillah', 'hirobil'), ('hirobil', 'nga')]","[('alhamdulillah', 'hirobil', 'nga')]","[('alhamdulillah', 'hirobil'), ('hirobil', 'nga')]",alhamdulillah hirobil nga
Zul Naidi,5,2025-10-04 10:47:31,anjai,anjai,anjai,['anjai'],['anjai'],['anja'],anja,anja,anja,anja,['anja'],"[('anja',)]",[],[],[],anja
Djdjd Djdjjd,5,2025-10-04 10:47:29,Salom game ini akusuka dan aku dikasi hoki sepin akusuka,salom game ini akusuka dan aku dikasi hoki sepin akusuka,salom game ini akusuka dan aku dikasi hoki sepin akusuka,"['salom', 'game', 'ini', 'akusuka', 'dan', 'aku', 'dikasi', 'hoki', 'sepin', 'akusuka']","['salom', 'game', 'akusuka', 'aku', 'dikasi', 'hoki', 'sepin', 'akusuka']","['salom', 'game', 'akusuka', 'aku', 'kasi', 'hoki', 'pin', 'akusuka']",salom game akusuka aku kasi hoki pin akusuka,salom permainan akusuka saya kasi beruntung pin akusuka,salom permainan akusuka saya kasi beruntung pin,salom permainan akusuka saya kasi beruntung pin,"['salom', 'permainan', 'akusuka', 'saya', 'kasi', 'beruntung', 'pin']","[('salom',), ('permainan',), ('akusuka',), ('saya',), ('kasi',), ('beruntung',), ('pin',)]","[('salom', 'permainan'), ('permainan', 'akusuka'), ('akusuka', 'saya'), ('saya', 'kasi'), ('kasi', 'beruntung'), ('beruntung', 'pin')]","[('salom', 'permainan', 'akusuka'), ('permainan', 'akusuka', 'saya'), ('akusuka', 'saya', 'kasi'), ('saya', 'kasi', 'beruntung'), ('kasi', 'beruntung', 'pin')]","[('salom', 'permainan'), ('permainan', 'akusuka'), ('akusuka', 'saya'), ('saya', 'kasi'), ('kasi', 'beruntung'), ('beruntung', 'pin')]",salom permainan akusuka saya kasi beruntung pin
rais kanyut lepet,3,2025-10-04 10:44:18,"minimal ga ngelag, dan patah patah pemain game tersebut perkataan nya kurang bagus","minimal ga ngelag, dan patah patah pemain game tersebut perkataan nya kurang bagus",minimal ga ngelag dan patah patah pemain game tersebut perkataan nya kurang bagus,"['minimal', 'ga', 'ngelag', 'dan', 'patah', 'patah', 'pemain', 'game', 'tersebut', 'perkataan', 'nya', 'kurang', 'bagus']","['minimal', 'ga', 'ngelag', 'patah', 'patah', 'pemain', 'game', 'tersebut', 'perkataan', 'nya', 'kurang', 'bagus']","['minimal', 'ga', 'ngelag', 'patah', 'patah', 'main', 'game', 'sebut', 'kata', 'nya', 'kurang', 'bagus']",minimal ga ngelag patah patah main game sebut kata nya kurang bagus,minimal tidak lambat patah patah main permainan sebut kata nya kurang bagus,minimal tidak lambat patah main permainan sebut kata nya kurang bagus,minimal tidak lambat patah main permainan sebut kata nya kurang bagus,"['minimal', 'tidak', 'lambat', 'patah', 'main', 'permainan', 'sebut', 'kata', 'nya', 'kurang', 'bagus']","[('minimal',), ('tidak',), ('lambat',), ('patah',), ('main',), ('permainan',), ('sebut',), ('kata',), ('nya',), ('kurang',), ('bagus',)]","[('minimal', 'tidak'), ('tidak', 'lambat'), ('lambat', 'patah'), ('patah', 'main'), ('main', 'permainan'), ('permainan', 'sebut'), ('sebut', 'kata'), ('kata', 'nya'), ('nya', 'kurang'), ('kurang', 'bagus')]","[('minimal', 'tidak', 'lambat'), ('tidak', 'lambat', 'patah'), ('lambat', 'patah', 'main'), ('patah', 'main', 'permainan'), ('main', 'permainan', 'sebut'), ('permainan', 'sebut', 'kata'), ('sebut', 'kata', 'nya'), ('kata', 'nya', 'kurang'), ('nya', 'kurang', 'bagus')]","[('minimal', 'tidak'), ('tidak', 'lambat'), ('lambat', 'patah'), ('patah', 'main'), ('main', 'permainan'), ('permainan', 'sebut'), ('sebut', 'kata'), ('kurang', 'bagus')]",minimal tidak lambat patah main permainan sebut kata kurang bagus
parhan ab,1,2025-10-04 10:40:59,grafik nya bagusin dikit,grafik nya bagusin dikit,grafik nya bagusin dikit,"['grafik', 'nya', 'bagusin', 'dikit']","['grafik', 'nya', 'bagusin', 'dikit']","['grafik', 'nya', 'bagusin', 'dikit']",grafik nya bagusin dikit,grafik nya bagusin sedikit,grafik nya bagusin sedikit,grafik nya bagusin sedikit,"['grafik', 'nya', 'bagusin', 'sedikit']","[('grafik',), ('nya',), ('bagusin',), ('sedikit',)]","[('grafik', 'nya'), ('nya', 'bagusin'), ('bagusin', 'sedikit')]","[('grafik', 'nya', 'bagusin'), ('nya', 'bagusin', 'sedikit')]","[('bagusin', 'sedikit')]",grafik bagusin sedikit
H24 IX,5,2025-10-04 10:40:17,"Garena tolong perbaiki bug internet dong , karena ketika saya bermain terkadang ada bug seperti itu , untuk selebihnya yaa bagus.","garena tolong perbaiki bug internet dong , karena ketika saya bermain terkadang ada bug seperti itu , untuk selebihnya yaa bagus.",garena tolong perbaiki bug internet dong karena ketika saya bermain terkadang ada bug seperti itu untuk selebihnya yaa bagus,"['garena', 'tolong', 'perbaiki', 'bug', 'internet', 'dong', 'karena', 'ketika', 'saya', 'bermain', 'terkadang', 'ada', 'bug', 'seperti', 'itu', 'untuk', 'selebihnya', 'yaa', 'bagus']","['garena', 'perbaiki', 'bug', 'internet', 'dong', 'bermain', 'terkadang', 'bug', 'selebihnya', 'yaa', 'bagus']","['garena', 'baik', 'bug', 'internet', 'dong', 'main', 'terkadang', 'bug', 'lebih', 'yaa', 'bagus']",garena baik bug internet dong main terkadang bug lebih yaa bagus,garena baik bug internet dong main terkadang bug lebih ya bagus,garena baik bug internet dong main terkadang lebih ya bagus,garena baik bug internet dong main terkadang lebih bagus,"['garena', 'baik', 'bug', 'internet', 'dong', 'main', 'terkadang', 'lebih', 'bagus']","[('garena',), ('baik',), ('bug',), ('internet',), ('dong',), ('main',), ('terkadang',), ('lebih',), ('bagus',)]","[('garena', 'baik'), ('baik', 'bug'), ('bug', 'internet'), ('internet', 'dong'), ('dong', 'main'), ('main', 'terkadang'), ('terkadang', 'lebih'), ('lebih', 'bagus')]","[('garena', 'baik', 'bug'), ('baik', 'bug', 'internet'), ('bug', 'internet', 'dong'), ('internet', 'dong', 'main'), ('dong', 'main', 'terkadang'), ('main', 'terkadang', 'lebih'), ('terkadang', 'lebih', 'bagus')]","[('garena', 'baik'), ('baik', 'bug'), ('bug', 'internet'), ('main', 'terkadang'), ('terkadang', 'lebih'), ('lebih', 'bagus')]",garena baik bug internet main terkadang lebih bagus
Devan Abang,4,2025-10-04 10:35:50,defan,defan,defan,['defan'],['defan'],['defan'],defan,defan,defan,defan,['defan'],"[('defan',)]",[],[],[],defan
Sauqi Farhan Latif,5,2025-10-04 10:31:34,bagus banget,bagus banget,bagus banget,"['bagus', 'banget']","['bagus', 'banget']","['bagus', 'banget']",bagus banget,bagus sangat,bagus sangat,bagus sangat,"['bagus', 'sangat']","[('bagus',), ('sangat',)]","[('bagus', 'sangat')]",[],"[('bagus', 'sangat')]",bagus sangat
Ara Realme,5,2025-10-04 10:26:13,game nya seru,game nya seru,game nya seru,"['game', 'nya', 'seru']","['game', 'nya', 'seru']","['game', 'nya', 'seru']",game nya seru,permainan nya seru,permainan nya seru,permainan nya seru,"['permainan', 'nya', 'seru']","[('permainan',), ('nya',), ('seru',)]","[('permainan', 'nya'), ('nya', 'seru')]","[('permainan', 'nya', 'seru')]",[],permainan seru
GG Gaming,1,2025-10-04 10:24:46,Woi Garena klo server lagi lag benerin ini gw udh menang malah ke comeback gara gara server lu Pls benerin Capek kita para player udh menang malah kena ghosting gara gara server lag,woi garena klo server lagi lag benerin ini gw udh menang malah ke comeback gara gara server lu pls benerin capek kita para player udh menang malah kena ghosting gara gara server lag,woi garena klo server lagi lag benerin ini gw udh menang malah ke comeback gara gara server lu pls benerin capek kita para player udh menang malah kena ghosting gara gara server lag,"['woi', 'garena', 'klo', 'server', 'lagi', 'lag', 'benerin', 'ini', 'gw', 'udh', 'menang', 'malah', 'ke', 'comeback', 'gara', 'gara', 'server', 'lu', 'pls', 'benerin', 'capek', 'kita', 'para', 'player', 'udh', 'menang', 'malah', 'kena', 'ghosting', 'gara', 'gara', 'server', 'lag']","['woi', 'garena', 'klo', 'server', 'lag', 'benerin', 'gw', 'udh', 'menang', 'malah', 'comeback', 'gara', 'gara', 'server', 'lu', 'pls', 'benerin', 'capek', 'player', 'udh', 'menang', 'malah', 'kena', 'ghosting', 'gara', 'gara', 'server', 'lag']","['woi', 'garena', 'klo', 'server', 'lag', 'benerin', 'gw', 'udh', 'menang', 'malah', 'comeback', 'gara', 'gara', 'server', 'lu', 'pls', 'benerin', 'capek', 'player', 'udh', 'menang', 'malah', 'kena', 'ghosting', 'gara', 'gara', 'server', 'lag']",woi garena klo server lag benerin gw udh menang malah comeback gara gara server lu pls benerin capek player udh menang malah kena ghosting gara gara server lag,woi garena kalau server lambat benerin saya sudah menang malah comeback gara gara server lu pls benerin capek player sudah menang malah kena ghosting gara gara server lambat,woi garena kalau server lambat benerin saya sudah menang malah comeback gara lu pls capek player kena ghosting,woi garena kalau server lambat benerin saya sudah menang malah comeback gara pls capek player kena ghosting,"['woi', 'garena', 'kalau', 'server', 'lambat', 'benerin', 'saya', 'sudah', 'menang', 'malah', 'comeback', 'gara', 'pls', 'capek', 'player', 'kena', 'ghosting']","[('woi',), ('garena',), ('kalau',), ('server',), ('lambat',), ('benerin',), ('saya',), ('sudah',), ('menang',), ('malah',), ('comeback',), ('gara',), ('pls',), ('capek',), ('player',), ('kena',), ('ghosting',)]","[('woi', 'garena'), ('garena', 'kalau'), ('kalau', 'server'), ('server', 'lambat'), ('lambat', 'benerin'), ('benerin', 'saya'), ('saya', 'sudah'), ('sudah', 'menang'), ('menang', 'malah'), ('malah', 'comeback'), ('comeback', 'gara'), ('gara', 'pls'), ('pls', 'capek'), ('capek', 'player'), ('player', 'kena'), ('kena', 'ghosting')]","[('woi', 'garena', 'kalau'), ('garena', 'kalau', 'server'), ('kalau', 'server', 'lambat'), ('server', 'lambat', 'benerin'), ('lambat', 'benerin', 'saya'), ('benerin', 'saya', 'sudah'), ('saya', 'sudah', 'menang'), ('sudah', 'menang', 'malah'), ('menang', 'malah', 'comeback'), ('malah', 'comeback', 'gara'), ('comeback', 'gara', 'pls'), ('gara', 'pls', 'capek'), ('pls', 'capek', 'player'), ('capek', 'player', 'kena'), ('player', 'kena', 'ghosting')]","[('woi', 'garena'), ('garena', 'kalau'), ('kalau', 'server'), ('server', 'lambat'), ('lambat', 'benerin'), ('benerin', 'saya'), ('saya', 'sudah'), ('sudah', 'menang'), ('menang', 'malah'), ('malah', 'comeback'), ('comeback', 'gara'), ('gara', 'pls'), ('pls', 'capek'), ('capek', 'player'), ('player', 'kena'), ('kena', 'ghosting')]",woi garena kalau server lambat benerin saya sudah menang malah comeback gara pls capek player kena ghosting
Govri Athaulloh,5,2025-10-04 10:24:30,bagus geme nya,bagus geme nya,bagus geme nya,"['bagus', 'geme', 'nya']","['bagus', 'geme', 'nya']","['bagus', 'geme', 'nya']",bagus geme nya,bagus permainan nya,bagus permainan nya,bagus permainan nya,"['bagus', 'permainan', 'nya']","[('bagus',), ('permainan',), ('nya',)]","[('bagus', 'permainan'), ('permainan', 'nya')]","[('bagus', 'permainan', 'nya')]","[('bagus', 'permainan')]",bagus permainan
Putra Novareza,5,2025-10-04 10:23:46,karena aku suka maen ff,karena aku suka maen ff,karena aku suka maen ff,"['karena', 'aku', 'suka', 'maen', 'ff']","['aku', 'suka', 'maen', 'ff']","['aku', 'suka', 'maen', 'ff']",aku suka maen ff,saya suka maen freefire,saya suka maen freefire,saya suka maen freefire,"['saya', 'suka', 'maen', 'freefire']","[('saya',), ('suka',), ('maen',), ('freefire',)]","[('saya', 'suka'), ('suka', 'maen'), ('maen', 'freefire')]","[('saya', 'suka', 'maen'), ('suka', 'maen', 'freefire')]","[('saya', 'suka'), ('suka', 'maen'), ('maen', 'freefire')]",saya suka maen freefire
Rain Arcadia,1,2025-10-04 10:19:58,tolong perbaiki bug black screen,tolong perbaiki bug black screen,tolong perbaiki bug black screen,"['tolong', 'perbaiki', 'bug', 'black', 'screen']","['perbaiki', 'bug', 'black', 'screen']","['baik', 'bug', 'black', 'screen']",baik bug black screen,baik bug black screen,baik bug black screen,baik bug black screen,"['baik', 'bug', 'black', 'screen']","[('baik',), ('bug',), ('black',), ('screen',)]","[('baik', 'bug'), ('bug', 'black'), ('black', 'screen')]","[('baik', 'bug', 'black'), ('bug', 'black', 'screen')]","[('baik', 'bug'), ('bug', 'black'), ('black', 'screen')]",baik bug black screen
talk talk,5,2025-10-04 10:16:54,bagus,bagus,bagus,['bagus'],['bagus'],['bagus'],bagus,bagus,bagus,bagus,['bagus'],"[('bagus',)]",[],[],[],bagus
Shello Ajjah,5,2025-10-04 10:11:34,semoga aku main nya tambah hebat permainan ini sangat seru,semoga aku main nya tambah hebat permainan ini sangat seru,semoga aku main nya tambah hebat permainan ini sangat seru,"['semoga', 'aku', 'main', 'nya', 'tambah', 'hebat', 'permainan', 'ini', 'sangat', 'seru']","['semoga', 'aku', 'main', 'nya', 'tambah', 'hebat', 'permainan', 'sangat', 'seru']","['moga', 'aku', 'main', 'nya', 'tambah', 'hebat', 'main', 'sangat', 'seru']",moga aku main nya tambah hebat main sangat seru,semoga saya main nya tambah hebat main sangat seru,semoga saya main nya tambah hebat sangat seru,semoga saya main nya tambah hebat sangat seru,"['semoga', 'saya', 'main', 'nya', 'tambah', 'hebat', 'sangat', 'seru']","[('semoga',), ('saya',), ('main',), ('nya',), ('tambah',), ('hebat',), ('sangat',), ('seru',)]","[('semoga', 'saya'), ('saya', 'main'), ('main', 'nya'), ('nya', 'tambah'), ('tambah', 'hebat'), ('hebat', 'sangat'), ('sangat', 'seru')]","[('semoga', 'saya', 'main'), ('saya', 'main', 'nya'), ('main', 'nya', 'tambah'), ('nya', 'tambah', 'hebat'), ('tambah', 'hebat', 'sangat'), ('hebat', 'sangat', 'seru')]","[('semoga', 'saya'), ('saya', 'main'), ('tambah', 'hebat'), ('hebat', 'sangat'), ('sangat', 'seru')]",semoga saya main tambah hebat sangat seru
