userName,score,at,content,content_casefold
Andika Saputra,5,2025-10-04 11:55:15,ff sangat menyenangkan,ff sangat menyenangkan
Sabri Adrian,5,2025-10-04 11:54:46,iki epep,iki epep
Farida Aliah,1,2025-10-04 11:54:22,games ya serusih tapi pulsaku sok habis soale wat main ini tolong offline,games ya serusih tapi pulsaku sok habis soale wat main ini tolong offline
Naufal Marish,5,2025-10-04 11:52:10,bagus dan keren,bagus dan keren
Robert Silitonga,5,2025-10-04 11:51:04,bagus,bagus
Muhammad Januar damanik Januar,1,2025-10-04 11:44:44,GAME BURIK TIDAK ADA PINTU,game burik tidak ada pintu
Hendri Pratama,1,2025-10-04 11:44:07,gimana ni garena diamon gua habis gak dapet2 SG 2,gimana ni garena diamon gua habis gak dapet2 sg 2
Abian Bian bot,1,2025-10-04 11:43:07,Apakah anda lupa Dengan nama(Budi)yg membesarkan game ini?,apakah anda lupa dengan nama(budi)yg membesarkan game ini?
Akbar Setiyawan,5,2025-10-04 11:41:47,Bismilah semoga gamenya tambah baik,bismilah semoga gamenya tambah baik
bos halus,3,2025-10-04 11:34:10,kok diamond aku tup up ko gak masuk ya,kok diamond aku tup up ko gak masuk ya
Umarinto Umarinto,5,2025-10-04 11:33:36,sangat menyenangkan,sangat menyenangkan
Ragil Ragil Herin Pratama,5,2025-10-04 11:33:20,gem ini sangat asik ✌️ sekali ya,gem ini sangat asik ✌️ sekali ya
Bilqis zea,5,2025-10-04 11:32:04,balikin akun aku☹️🥺,balikin akun aku☹️🥺
Aryasatya Ibrahim Azhar,5,2025-10-04 11:29:34,bagus,bagus
Banyu Biru,1,2025-10-04 11:21:17,gua gak salah malah di tuduh infestigasi garena poke ayam,gua gak salah malah di tuduh infestigasi garena poke ayam
Triargo Joyo,5,2025-10-04 11:21:07,setia,setia
Farid Hasan,5,2025-10-04 11:16:32,mantap,mantap
normie Risma,5,2025-10-04 11:15:45,ini sangat bagus,ini sangat bagus
Andhika Dimas prasetya,5,2025-10-04 11:11:37,bagus,bagus
Dewi Masithoh,5,2025-10-04 11:05:12,bagus,bagus
Farel Nazrul,5,2025-10-04 11:03:49,min kapan SG trompet di liris lagii,min kapan sg trompet di liris lagii
Anjas Saputra,5,2025-10-04 11:03:46,bagus ff sangat seru,bagus ff sangat seru
Naufal Dzakira Sya'Bani,1,2025-10-04 11:02:53,WOYYYYY GARENA JARINGAN NYA BETULIN DOOONGG,woyyyyy garena jaringan nya betulin dooongg
Uwais Al qarny,4,2025-10-04 10:58:57,download lagu Tapi tolong game ini pakai paket,download lagu tapi tolong game ini pakai paket
amar xzt,5,2025-10-04 10:58:51,FF nya bagus mencelupkan bagi aku,ff nya bagus mencelupkan bagi aku
RaFzZz FF,5,2025-10-04 10:56:49,menyala,menyala
Rafka alvaro,5,2025-10-04 10:55:56,geme ini sangat seru.bagi orang orang new silahkan download FREE FIRE ini aga hidup mu menjadi ber motivasi lagi yaa cuyyy. tapi banyak citer nya garena tolong ya di basmi para citer nya 👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍,geme ini sangat seru.bagi orang orang new silahkan download free fire ini aga hidup mu menjadi ber motivasi lagi yaa cuyyy. tapi banyak citer nya garena tolong ya di basmi para citer nya 👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍
Yaho Namores,5,2025-10-04 10:50:21,Alhamdulillah hirobil nga,alhamdulillah hirobil nga
Zul Naidi,5,2025-10-04 10:47:31,anjai,anjai
Djdjd Djdjjd,5,2025-10-04 10:47:29,Salom game ini akusuka dan aku dikasi hoki sepin akusuka,salom game ini akusuka dan aku dikasi hoki sepin akusuka
rais kanyut lepet,3,2025-10-04 10:44:18,"minimal ga ngelag, dan patah patah pemain game tersebut perkataan nya kurang bagus","minimal ga ngelag, dan patah patah pemain game tersebut perkataan nya kurang bagus"
parhan ab,1,2025-10-04 10:40:59,grafik nya bagusin dikit,grafik nya bagusin dikit
H24 IX,5,2025-10-04 10:40:17,"Garena tolong perbaiki bug internet dong , karena ketika saya bermain terkadang ada bug seperti itu , untuk selebihnya yaa bagus.","garena tolong perbaiki bug internet dong , karena ketika saya bermain terkadang ada bug seperti itu , untuk selebihnya yaa bagus."
Devan Abang,4,2025-10-04 10:35:50,defan,defan
Sauqi Farhan Latif,5,2025-10-04 10:31:34,bagus banget,bagus banget
Ara Realme,5,2025-10-04 10:26:13,game nya seru,game nya seru
GG Gaming,1,2025-10-04 10:24:46,Woi Garena klo server lagi lag benerin ini gw udh menang malah ke comeback gara gara server lu Pls benerin Capek kita para player udh menang malah kena ghosting gara gara server lag,woi garena klo server lagi lag benerin ini gw udh menang malah ke comeback gara gara server lu pls benerin capek kita para player udh menang malah kena ghosting gara gara server lag
Govri Athaulloh,5,2025-10-04 10:24:30,bagus geme nya,bagus geme nya
Putra Novareza,5,2025-10-04 10:23:46,karena aku suka maen ff,karena aku suka maen ff
Rain Arcadia,1,2025-10-04 10:19:58,tolong perbaiki bug black screen,tolong perbaiki bug black screen
talk talk,5,2025-10-04 10:16:54,bagus,bagus
Shello Ajjah,5,2025-10-04 10:11:34,semoga aku main nya tambah hebat permainan ini sangat seru,semoga aku main nya tambah hebat permainan ini sangat seru
Jumilar Febriansyah,5,2025-10-04 10:09:32,"anjg bangef yg heck akun gw secara,tiba² uda dua kali cb ngalamjn hal yg sma😊, mungkin emng jya aku uda engga di takdirakn hidup di dunia nyata ""wassalamualaikum wr.🙏😊","anjg bangef yg heck akun gw secara,tiba² uda dua kali cb ngalamjn hal yg sma😊, mungkin emng jya aku uda engga di takdirakn hidup di dunia nyata ""wassalamualaikum wr.🙏😊"
Elmi 24,5,2025-10-04 10:05:05,"game yang sangat aku suka, aku main game ini dari tahun 2019","game yang sangat aku suka, aku main game ini dari tahun 2019"
Tarmin Kelapa,1,2025-10-04 10:00:32,tolong Garena kenapa layarnya black screen?,tolong garena kenapa layarnya black screen?
Ahmad Asep,5,2025-10-04 10:00:16,terima kasih Garena,terima kasih garena
Raka Maulana El hakim,2,2025-10-04 09:51:37,"semenjak updet keahlian bermain ff saya menurun terus,mungkin ini bukan masanya","semenjak updet keahlian bermain ff saya menurun terus,mungkin ini bukan masanya"
J Jl,5,2025-10-04 09:46:50,kasi keluar sekin SG 2,kasi keluar sekin sg 2
Warteg Malam,5,2025-10-04 09:46:50,asik banget Wak aku aj sampe ketagihan 👑game 1,asik banget wak aku aj sampe ketagihan 👑game 1
Rasid Ilyas Acid,1,2025-10-04 09:46:38,jangan Ben bang Budi,jangan ben bang budi
Ikhwal Bachtiar,4,2025-10-04 09:44:23,"apalahhh, tolong pihak Garena, kenapa ya akun gw kena sistem bl, padahal gw jarang main br/cs kok masih kena sistem bl, tolong dibenerin lagi yaa, soalnya yang kena sistem bl bukan aku doang tapi semuanya yang kena, tolong dibenerin ya Garena sistem bl nya, kasian itu player player ff gabisa ngepus br/cs, terima kasihh🙏🙏","apalahhh, tolong pihak garena, kenapa ya akun gw kena sistem bl, padahal gw jarang main br/cs kok masih kena sistem bl, tolong dibenerin lagi yaa, soalnya yang kena sistem bl bukan aku doang tapi semuanya yang kena, tolong dibenerin ya garena sistem bl nya, kasian itu player player ff gabisa ngepus br/cs, terima kasihh🙏🙏"
Sahrul Kizzy,1,2025-10-04 09:43:48,kecewa sangat akun gak aneh aneh gak ngechit bisa bisa nya di bl udah buat laporan masih aja akun nya gak bisa di mainin apa apa,kecewa sangat akun gak aneh aneh gak ngechit bisa bisa nya di bl udah buat laporan masih aja akun nya gak bisa di mainin apa apa
Jaya Bersama,5,2025-10-04 09:39:20,sangat bagus,sangat bagus
Melvin MRifai,5,2025-10-04 09:32:11,saya sangat terhibur,saya sangat terhibur
Isa Ajja,2,2025-10-04 09:26:46,we need old peak,we need old peak
aku fathir,2,2025-10-04 09:22:43,bikin cape dan naik turun rank,bikin cape dan naik turun rank
Dea andini Aulia,1,2025-10-04 09:22:01,masah sih naro goloal musuh bosa tembus dah gitu tunggu 6detik baru ketaruh,masah sih naro goloal musuh bosa tembus dah gitu tunggu 6detik baru ketaruh
Mak Jesika,1,2025-10-04 09:06:42,peak nyaaa selalu di ganti 💔,peak nyaaa selalu di ganti 💔
Silvi 12,5,2025-10-04 09:04:47,gemm naya baguss,gemm naya baguss
Xxyzlow,5,2025-10-04 08:54:42,game nya bagus sama grapik nya kurangin soal nya HP ku kentang,game nya bagus sama grapik nya kurangin soal nya hp ku kentang
Aku Orang,5,2025-10-04 08:51:28,game yang bagus dan menyenangkan menurut saya,game yang bagus dan menyenangkan menurut saya
husnulch Qmh,4,2025-10-04 08:50:22,ff harus mendapat diamond gratis,ff harus mendapat diamond gratis
Saudur Siregar,5,2025-10-04 08:50:10,PERMAINAN YG SANGAT BAIK,permainan yg sangat baik
dio lafonzo04,1,2025-10-04 08:49:34,game kikir males mainya,game kikir males mainya
Harunsyah Putra,5,2025-10-04 08:46:59,game ini enak terus bisa ngilangi suntuk dan putus cintah,game ini enak terus bisa ngilangi suntuk dan putus cintah
Asep Nurul,5,2025-10-04 08:45:56,seru,seru
Aldivo Khiar Wahyudi,5,2025-10-04 08:42:53,gg enak bgt,gg enak bgt
Fatih Ar Razin,1,2025-10-04 08:41:32,game jelek ini,game jelek ini
Dimas Verdiansyah,5,2025-10-04 08:37:52,sangat bagus,sangat bagus
M. Sarofudin,5,2025-10-04 08:34:50,kasiakuakun Sultan dong bang Garena FF👍mantap,kasiakuakun sultan dong bang garena ff👍mantap
Muhamad Ramadhani,1,2025-10-04 08:32:24,game ga bagus karna baperan,game ga bagus karna baperan
Teh Ema,5,2025-10-04 08:32:17,ngapain malah peak yang di ubah,ngapain malah peak yang di ubah
Ilham Rafif Adhafa,5,2025-10-04 08:31:17,bagus garena,bagus garena
Rafa Maulana,1,2025-10-04 08:30:47,"game 8 bit, g ada pintu😹","game 8 bit, g ada pintu😹"
Riska Menqsalawasna,5,2025-10-04 08:30:01,"gamenya,bagus.dan,gerapik,bagus,juga ,tapi,ada,catatan,dari,saya,jaringan,buruk,dan,erorr,tolong,di,perbaiki,lagi,gerena,itu,saja,dari,saya,terima,kasih,saya,beri,lima,bintang,5","gamenya,bagus.dan,gerapik,bagus,juga ,tapi,ada,catatan,dari,saya,jaringan,buruk,dan,erorr,tolong,di,perbaiki,lagi,gerena,itu,saja,dari,saya,terima,kasih,saya,beri,lima,bintang,5"
FERDY NAND,1,2025-10-04 08:26:24,"game nya banyak bug jaringan padahal udah buat laporan,tapi tetep susah, banyak bug tembus tanah, banyak cheat juga tolong di ban,,spinan nya ampas harus spin sampai habis","game nya banyak bug jaringan padahal udah buat laporan,tapi tetep susah, banyak bug tembus tanah, banyak cheat juga tolong di ban,,spinan nya ampas harus spin sampai habis"
Ainul Ainul,1,2025-10-04 08:22:51,gamenya sangat seru,gamenya sangat seru
SANAPIA SANAPIA,2,2025-10-04 08:20:01,"gem ya seru si,cuman jaringan gak setabil waktu bermain,apa lagi pas ketemu Ama musuhnya makin jelek jaringannya atau pata pata","gem ya seru si,cuman jaringan gak setabil waktu bermain,apa lagi pas ketemu ama musuhnya makin jelek jaringannya atau pata pata"
Riki Rikipjr,1,2025-10-04 08:14:45,aplikasinya jelek burik taikkk anjinggg,aplikasinya jelek burik taikkk anjinggg
Apry,1,2025-10-04 08:13:33,Akun aku keban terus padahal baru login😔😭,akun aku keban terus padahal baru login😔😭
Steven Gultom,5,2025-10-04 08:12:29,karena game ini sangat seru danenyenangkan,karena game ini sangat seru danenyenangkan
Arif Rahman,5,2025-10-04 08:08:09,ok,ok
Ranto Purba,5,2025-10-04 08:07:43,ff harus lebih baik,ff harus lebih baik
Rahmat Rumbia,1,2025-10-04 08:05:55,game ga guna,game ga guna
Fauzi Gucci,5,2025-10-04 08:03:32,bagus lah pokoknya,bagus lah pokoknya
Fadhil Mirzaki,1,2025-10-04 07:57:53,ff game kagak guna masak akun nya bang Budi panutan gua di blokir,ff game kagak guna masak akun nya bang budi panutan gua di blokir
Nuri Zainuri,1,2025-10-04 07:56:59,kenapa setiap habis main lalu keluar dari game terus pas login data game kehapus semua dan harus download ulang,kenapa setiap habis main lalu keluar dari game terus pas login data game kehapus semua dan harus download ulang
Indra Gaming,4,2025-10-04 07:49:11,Min Sekali Kali Collab Ama Semua Perguruan Pencak Silat Min🗿,min sekali kali collab ama semua perguruan pencak silat min🗿
Lidia siska,1,2025-10-04 07:48:20,we need old peak,we need old peak
Sahru Ronadhon,5,2025-10-04 07:48:04,gem nya bagus tapi aku di kasih kalah mulu tolong ya kasih menag trus,gem nya bagus tapi aku di kasih kalah mulu tolong ya kasih menag trus
Mardiantodion Dion,5,2025-10-04 07:47:44,ff ok,ff ok
Ayu Kah,1,2025-10-04 07:46:18,tidak bisa login,tidak bisa login
Niza,5,2025-10-04 07:45:17,sangat seru,sangat seru
Eni Hidayati,5,2025-10-04 07:45:09,bagus tapi tolong kembalikan peak yang dulu,bagus tapi tolong kembalikan peak yang dulu
Abdulloh Syauqi,5,2025-10-04 07:36:48,I love freefire,i love freefire
Sujini 778,1,2025-10-04 07:35:40,Garena tolong kembalikan akun ku Garena plis 😭😭😭😭,garena tolong kembalikan akun ku garena plis 😭😭😭😭
Mal,1,2025-10-04 07:27:58,geme burik mending War thunder mobile atau wotb yg GK kaku,geme burik mending war thunder mobile atau wotb yg gk kaku
Filz Mode of,1,2025-10-04 07:26:58,karna bg Budi GK di boleh kan main rank game nya super burikkk,karna bg budi gk di boleh kan main rank game nya super burikkk
nona ambon,5,2025-10-04 07:25:22,ini game sangat seru ini game banyak koleb nya aku suka,ini game sangat seru ini game banyak koleb nya aku suka
Rina Dewita,5,2025-10-04 07:16:22,karena asik,karena asik
Dosmaripa85 com Ripa,5,2025-10-04 07:11:34,mantap sob,mantap sob
drima Farfad,5,2025-10-04 07:06:59,coba aja pas masuk dapat diamon 100 pasti aku senang dan semua orang,coba aja pas masuk dapat diamon 100 pasti aku senang dan semua orang
Muhammad arif Irfansyah,1,2025-10-04 06:54:19,Game nya banyak bug mulai glowal delay walaupun jaringan stabil dan demeg bug ke musuh,game nya banyak bug mulai glowal delay walaupun jaringan stabil dan demeg bug ke musuh
GILANGG,1,2025-10-04 06:54:17,masa pas aku main bsok nya update pack bahasa lalu data data geme nya suruh donlod ulang tolong perbaiki bug ini,masa pas aku main bsok nya update pack bahasa lalu data data geme nya suruh donlod ulang tolong perbaiki bug ini
Azurah Khanza Khanza,3,2025-10-04 06:54:06,garena gw bosen main epep,garena gw bosen main epep
Adel,4,2025-10-04 06:47:21,bagus banget tapi agak ngelek,bagus banget tapi agak ngelek
Deden Kurniawan,5,2025-10-04 06:44:00,"suka banget lovvvv you Garena aku seneng bisa ketemu Garena seru, lucu nemenin kalo lagi galau, seneng, berduka dan lain lain","suka banget lovvvv you garena aku seneng bisa ketemu garena seru, lucu nemenin kalo lagi galau, seneng, berduka dan lain lain"
Andira Pebrianti,5,2025-10-04 06:43:07,bagus banget,bagus banget
Alfino Geofani,1,2025-10-04 06:41:42,game banyak Bug y jaringan,game banyak bug y jaringan
Adna Ali pirdaus,5,2025-10-04 06:39:55,Gem play nya bagus. Tapi sedikit ada kesalahan kalo main jaringan nya ngelek kalo di lobi jaringan nya lancar..,gem play nya bagus. tapi sedikit ada kesalahan kalo main jaringan nya ngelek kalo di lobi jaringan nya lancar..
LORD ITACI,5,2025-10-04 06:39:22,ffff jaya,ffff jaya
Martin Martitin,2,2025-10-04 06:38:26,haduh pihak Garena tolong perbaikin ini game biar rame kaya dulu lagi contoh kerusakan yang saya alami mencet tombol seperti menembak masang glowall.terkadang dan keseringan kaya lag atau ga bisa tertembak atau terpasang malah cuma kaya megang glowall aja tapi ga masang dan lagi terkadang walau sudah bisa di balik dinding tapi masih saja bisa mati tertembak aneh,haduh pihak garena tolong perbaikin ini game biar rame kaya dulu lagi contoh kerusakan yang saya alami mencet tombol seperti menembak masang glowall.terkadang dan keseringan kaya lag atau ga bisa tertembak atau terpasang malah cuma kaya megang glowall aja tapi ga masang dan lagi terkadang walau sudah bisa di balik dinding tapi masih saja bisa mati tertembak aneh
Fakeh Udin,1,2025-10-04 06:37:50,"ini gimana garena ff gw ko, kalo engga login 1/2 hari harus donlod vauld senjata dll ini gimana ni garena tolong lah garena ff gw di perbaiki kalo engga gw mau pindah gem aja","ini gimana garena ff gw ko, kalo engga login 1/2 hari harus donlod vauld senjata dll ini gimana ni garena tolong lah garena ff gw di perbaiki kalo engga gw mau pindah gem aja"
Dian Nafi,2,2025-10-04 06:37:28,males main epep karna gak bisa login gak bisa main di mec di br di cs,males main epep karna gak bisa login gak bisa main di mec di br di cs
Dadang234,5,2025-10-04 06:32:37,jarena main free fire seru,jarena main free fire seru
Lanang sped,1,2025-10-04 06:30:57,"minimal balikin akun bg budi lah, garena oot😹🥀","minimal balikin akun bg budi lah, garena oot😹🥀"
Susset_ Indah82,5,2025-10-04 06:25:52,bagus,bagus
Fienchent Toding,1,2025-10-04 06:25:08,game busuk nembak musuh 2 hit gk mti giluran musuh 2 hit mti game busukkk,game busuk nembak musuh 2 hit gk mti giluran musuh 2 hit mti game busukkk
Sangalan Way,5,2025-10-04 06:23:53,Gamenya sangat bagus banyak event yang keren.Kalian harus main juga pokoknya bagus banget aku kasih bintang 5,gamenya sangat bagus banyak event yang keren.kalian harus main juga pokoknya bagus banget aku kasih bintang 5
Suparmo Parmo,5,2025-10-04 06:23:51,seru,seru
Effendi (Dreg'd),1,2025-10-04 06:22:40,"yth garena, diperketat lgi sistem nya, nasib bnyk yg gunakan aplikasi tambahan, nmun sistem garena nya gk bisa bekerja, tolong di perbaiki sistem nya, game paling buruk klo sistemnya gk bekerja","yth garena, diperketat lgi sistem nya, nasib bnyk yg gunakan aplikasi tambahan, nmun sistem garena nya gk bisa bekerja, tolong di perbaiki sistem nya, game paling buruk klo sistemnya gk bekerja"
Muhammad Alfin,1,2025-10-04 06:20:41,"balikin akun gw,balikin Budi01gaming,balikin topi jerami ungu🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥","balikin akun gw,balikin budi01gaming,balikin topi jerami ungu🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥"
Yga Yah,1,2025-10-04 06:17:18,Gak bisa bikin game bilang,gak bisa bikin game bilang
Raga Men,1,2025-10-04 06:17:14,tidak seru,tidak seru
Desta Aditya,1,2025-10-04 06:10:53,game kikir,game kikir
Aiagkn 1246,5,2025-10-04 06:10:16,iya aku suka free fire tapi yg GK gua suka kalo Nye pin kagak dikasi hoki cokc,iya aku suka free fire tapi yg gk gua suka kalo nye pin kagak dikasi hoki cokc
Wisky shark,1,2025-10-04 06:10:02,GAME SAMPAH skil karakter pada gak jelas bug banyak citer marakkk,game sampah skil karakter pada gak jelas bug banyak citer marakkk
Rehan afandi,5,2025-10-04 06:05:32,bagus,bagus
Lutvi Alicia,1,2025-10-04 06:05:26,gem ini burik burik jangan donlod masa sinyalku bagus masa sinyal di ff ngeleg gem gj ge burik,gem ini burik burik jangan donlod masa sinyalku bagus masa sinyal di ff ngeleg gem gj ge burik
Muhammad Afriadi,1,2025-10-04 06:05:26,Garena kok akun aku hilang Garena,garena kok akun aku hilang garena
Mutiara Melvika Br Hutapea,4,2025-10-04 06:02:49,bagus,bagus
Muna munjia,1,2025-10-04 05:55:28,game toll anj bug damage mulu gak respect game haram bikin nguras duit ke ban lagi tll,game toll anj bug damage mulu gak respect game haram bikin nguras duit ke ban lagi tll
Zalfa alzakhia,5,2025-10-04 05:54:32,bismillah hoki,bismillah hoki
Rafif Ahnaf,5,2025-10-04 05:53:17,bagus game nya,bagus game nya
Reza Reza,3,2025-10-04 05:51:34,setiap main dapat dark sistem dari master bisa langsung turun ke diamond,setiap main dapat dark sistem dari master bisa langsung turun ke diamond
Fauzi Ahmad,2,2025-10-04 05:51:03,game burik¯ツ,game burik¯ツ
Nanahermansyah Herman,3,2025-10-04 05:48:57,balikin akun ff ku min yang keban aku murni kok mungkin salah paham aja mohon min udah 5 hari atau 6 hari deh lupa mohon balikin min akun satu satu nya itu ya gua akui ini game bagus dri sekian game fps lain nya,balikin akun ff ku min yang keban aku murni kok mungkin salah paham aja mohon min udah 5 hari atau 6 hari deh lupa mohon balikin min akun satu satu nya itu ya gua akui ini game bagus dri sekian game fps lain nya
Dap,1,2025-10-04 05:47:29,"game hama anying, game kikir busetdah jngn main game ini ya soalnya dah blacklist panutan kita","game hama anying, game kikir busetdah jngn main game ini ya soalnya dah blacklist panutan kita"
Nesa aisara Najma humaira,5,2025-10-04 05:46:48,Bagus gamenya,bagus gamenya
M Syahputra,3,2025-10-04 05:45:32,Garena kek mana ini gara gara aku main game mu akhirnya hp ku bisa diriset kek mana ini mohon perbaiki lah,garena kek mana ini gara gara aku main game mu akhirnya hp ku bisa diriset kek mana ini mohon perbaiki lah
Muhamad Farhat saputra,1,2025-10-04 05:40:26,"game burik, gabisa login anj","game burik, gabisa login anj"
Nabila Dwi,5,2025-10-04 05:39:36,👍,👍
Triyance Mosa,5,2025-10-04 05:37:30,seru sekali,seru sekali
Sukijan Sarwi,5,2025-10-04 05:37:11,ff memang terbaik,ff memang terbaik
Desy Dhyanda,5,2025-10-04 05:34:59,bagus banget,bagus banget
Mohammad Alive,1,2025-10-04 05:28:12,game burik,game burik
Nur hijrah Hijrah,1,2025-10-04 05:28:08,jelek ga seru,jelek ga seru
Muhamad Davi,5,2025-10-04 05:20:45,bagus dan seru,bagus dan seru
Ander Riski purnama,5,2025-10-04 05:16:00,bagus sekali,bagus sekali
Sesil Sesilia dwi pratiwi,5,2025-10-04 05:16:00,OMG,omg
Andika Owet,5,2025-10-04 05:15:24,cukup bagus game ini tapi banyak bug,cukup bagus game ini tapi banyak bug
Bongkeng Hengky,5,2025-10-04 05:09:51,sangat bagus,sangat bagus
Safira,5,2025-10-04 05:08:55,sangat bagus,sangat bagus
ヤンデクPatur,1,2025-10-04 05:00:54,Kenapa saat aku download tidak terinstal padahal ruang penyimpanan gak penuh?,kenapa saat aku download tidak terinstal padahal ruang penyimpanan gak penuh?
Yunita Yanikopong,5,2025-10-04 05:00:28,bagus👍 tapi sayang akun aku di ambil orang terus😌,bagus👍 tapi sayang akun aku di ambil orang terus😌
Cgyy,5,2025-10-04 04:58:26,😩🧠💫,😩🧠💫
Daffa Dwi putra,1,2025-10-04 04:57:39,mata sakit,mata sakit
Raihan Baihaqi Dima,1,2025-10-04 04:52:50,banyak chit terr nya,banyak chit terr nya
Abdul Hamid,5,2025-10-04 04:49:13,untung untung dapat dm,untung untung dapat dm
Tobari Boy,5,2025-10-04 04:40:28,bagus banget,bagus banget
Rizky Dwi Ramadhan,4,2025-10-04 04:40:14,game nya bagus tapi kenapa item old keluar lagi padahal itu item lama cape cape dapetin malah jadi pasaran,game nya bagus tapi kenapa item old keluar lagi padahal itu item lama cape cape dapetin malah jadi pasaran
Repando Simanjuntak,1,2025-10-04 04:38:25,selama ini 7 Thn main ep ep baru seson ini saya merasa kaya anjig oleh pihak Garena udah diamond habis pangkat ep ep GK naik naik gara gara Chet,selama ini 7 thn main ep ep baru seson ini saya merasa kaya anjig oleh pihak garena udah diamond habis pangkat ep ep gk naik naik gara gara chet
Agusmax Kimak,5,2025-10-04 04:37:21,kurang bagi bagi dm nya,kurang bagi bagi dm nya
M.khairi Akbar,5,2025-10-04 04:34:39,Naruto,naruto
Nardian pratama,1,2025-10-04 04:32:35,kalah kalah terus bosen,kalah kalah terus bosen
Raffa Arya,1,2025-10-04 04:31:52,GAME BURIK 🤬 sinyal selalu ngelag kasih bintang 1 aja ini game,game burik 🤬 sinyal selalu ngelag kasih bintang 1 aja ini game
Rama Auditya,2,2025-10-04 04:31:10,"ini Garena gak betul ini, masak aku pas main rank aku kill satu terus pas aku kalah malah turun rank nya ,dari dulu aku merasa ingin demo sama Aldi tv,peak old juga gak dikeluarin,","ini garena gak betul ini, masak aku pas main rank aku kill satu terus pas aku kalah malah turun rank nya ,dari dulu aku merasa ingin demo sama aldi tv,peak old juga gak dikeluarin,"
Nur Azra,5,2025-10-04 04:30:31,sangat cocok untuk saya,sangat cocok untuk saya
Sheva Pratamaputri,5,2025-10-04 04:22:39,sangat bagus,sangat bagus
RADIT KONI,5,2025-10-04 04:17:19,Bagus tapi budi,bagus tapi budi
Abdul Samad,5,2025-10-04 04:15:50,burik,burik
Selvia Daramean,3,2025-10-04 04:13:55,koneksi bagus tapi ngeleh mulu,koneksi bagus tapi ngeleh mulu
Cinta Putri,2,2025-10-04 04:12:43,kalo di aku suka ngeleggg,kalo di aku suka ngeleggg
HADRI Hadri,5,2025-10-04 04:12:18,EPEP DIhati,epep dihati
Wawan Kurniawan,5,2025-10-04 04:07:36,game nya bagus,game nya bagus
Mamah Riska,5,2025-10-04 04:04:23,mantap,mantap
Rohatus Suhadah,5,2025-10-04 04:04:05,kerja bgus Kelly,kerja bgus kelly
Heroes?,1,2025-10-04 04:03:30,Adminnya Sangat Buruk Saya Tidak Merekomendasikan Game ini Karena Banyak Player Pemain Free Fire Di Banned Dengan Alasan Tidak Jelas Hanya Karena Seorang player itu menerima Endorse Dari Game Lain Garena Hanya Ingin Game Nya Adalah Satu Satu nya Game terbaik Padahal Banyak konten Kreator Game Yang Ingin Bermain Game Untuk Di Posting Agar mendapatkan Penghasilan Tambahan tapi Saya Tidak Respect Kepada Admin Garena Free Fire Indonesia Karena Membanned Player Nya Dengan Tidak Jelas Mungkin Cemburu.,adminnya sangat buruk saya tidak merekomendasikan game ini karena banyak player pemain free fire di banned dengan alasan tidak jelas hanya karena seorang player itu menerima endorse dari game lain garena hanya ingin game nya adalah satu satu nya game terbaik padahal banyak konten kreator game yang ingin bermain game untuk di posting agar mendapatkan penghasilan tambahan tapi saya tidak respect kepada admin garena free fire indonesia karena membanned player nya dengan tidak jelas mungkin cemburu.
Farel Aqil,1,2025-10-04 04:00:00,pliss garena jangan buat ff jadi jelek,pliss garena jangan buat ff jadi jelek
Calvin Pratama,5,2025-10-04 03:57:11,bagus,bagus
Faqeeh Zaghluwl,5,2025-10-04 03:52:50,game seru tapi rada aneh karna ada banyak cit atau panel yang tidak di banned,game seru tapi rada aneh karna ada banyak cit atau panel yang tidak di banned
PHX Riskintil,1,2025-10-04 03:52:24,Makin lama makin jelek,makin lama makin jelek
Suci Inriyati,5,2025-10-04 03:51:39,Game nya bagus garena besok kalau sudah selesai trouble night kasih event one piece ya Garena🙂,game nya bagus garena besok kalau sudah selesai trouble night kasih event one piece ya garena🙂
rafa az,5,2025-10-04 03:51:19,game ini sangat menarik,game ini sangat menarik
Tahun Baru,1,2025-10-04 03:49:28,burik,burik
Arif Koernia,5,2025-10-04 03:47:53,ff bagus,ff bagus
PipSz Agisna,1,2025-10-04 03:47:41,balikin akun bang budi anj garena kikir kalo gada bang budi epep gak bakalan se rame ini yaa dan kalo gada bang budi epep gabakaln seru ya,balikin akun bang budi anj garena kikir kalo gada bang budi epep gak bakalan se rame ini yaa dan kalo gada bang budi epep gabakaln seru ya
Gede Putra,1,2025-10-04 03:47:06,game aneh gk bisa si gerakin,game aneh gk bisa si gerakin
akunml,1,2025-10-04 03:44:08,tolong di perbaiki bg budi gk bisa main rank garena nanti kita seemua kasih bintang 1 mau,tolong di perbaiki bg budi gk bisa main rank garena nanti kita seemua kasih bintang 1 mau
